Department_group,Organisation,Organisation_Code,Response rate,Employee engagement index,My work,Organisational objectives and purpose,My manager,My team,Learning and development,Inclusion and fair treatment,Resources and workload,Pay and benefits,Leadership and managing change,B01. I am interested in my work,B02. I am sufficiently challenged by my work,B03. My work gives me a sense of personal accomplishment,B04. I feel involved in the decisions that affect my work,B05. I have a choice in deciding how I do my work,B06. I have a clear understanding of [my organisation's] objectives,B07. I understand how my work contributes to [my organisation's] objectives,B08. My manager motivates me to be more effective in my job,B09. My manager is considerate of my life outside work,B10. My manager is open to my ideas,B11. My manager helps me to understand how I contribute to [my organisation's] objectives,"B12. Overall, I have confidence in the decisions made by my manager",B13. My manager recognises when I have done my job well,B14. I receive regular feedback on my performance,B15. The feedback I receive helps me to improve my performance,B16. I think that my performance is evaluated fairly,B17. Poor performance is dealt with effectively in my team,B18. The people in my team can be relied upon to help when things get difficult in my job,B19. The people in my team work together to find ways to improve the service we provide,B20. The people in my team are encouraged to come up with new and better ways of doing things,B21. I am able to access the right learning and development opportunities when I need to,B22. Learning and development activities I have completed in the past 12 months have helped to improve my performance,B23. There are opportunities for me to develop my career in [my organisation],B24. Learning and development activities I have completed while working for [my organisation] are helping me to develop my career,B25. I am treated fairly at work,B26. I am treated with respect by the people I work with,B27. I feel valued for the work I do,"B28. I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc)",B29. I get the information I need to do my job well,B30. I have clear work objectives,B31. I have the skills I need to do my job effectively,B32. I have the tools I need to do my job effectively,B33. I have an acceptable workload,B34. I achieve a good balance between my work life and my private life,B35. I feel that my pay adequately reflects my performance,B36. I am satisfied with the total benefits package,B37. Compared to people doing a similar job in other organisations I feel my pay is reasonable,B38. [Senior managers] in [my organisation] are sufficiently visible,B39. I believe the actions of [senior managers] are consistent with [my organisation's] values,B40. I believe that [the board has] a clear vision for the future of [my organisation],"B41. Overall, I have confidence in the decisions made by [my organisation's senior managers]",B42. I feel that change is managed well in [my organisation],B43. When changes are made in [my organisation] they are usually for the better,B44. [My organisation] keeps me informed about matters that affect me,B45. I have the opportunity to contribute my views before decisions are made that affect me,B46. I think it is safe to challenge the way things are done in [my organisation],B47. I am proud when I tell others I am part of [my organisation],B48. I would recommend [my organisation] as a great place to work,B49. I feel a strong personal attachment to [my organisation],B50. [My organisation] inspires me to do the best in my job,B51. [My organisation] motivates me to help it achieve its objectives,B52. I believe that [senior managers] in [my organisation] will take action on the results from this survey,"B53. Where I work, I think effective action has been taken on the results of the last survey",B54. I am trusted to carry out my job effectively,"B55. I believe I would be supported if I try a new idea, even if it may not work","B56. In [my organisation], people are encouraged to speak up when they identify a serious policy or delivery risk",B57. I feel able to challenge inappropriate behaviour in the workplace,B58. My organisation is committed to creating a diverse and inclusive workplace,B59. [Senior managers] in [my organisation] actively role model the behaviours set out in the Civil Service Leadership Statement,B60. My manager actively role models the behaviours set out in the Civil Service Leadership Statement,B61. I am aware of the Civil Service vision for 'A Brilliant Civil Service',B62. I understand how my work contributes to helping us become 'A Brilliant Civil Service',D01. Are you aware of the Civil Service Code?,D02. Are you aware of how to raise a concern under the Civil Service Code?,D03. Are you confident that if you raise a concern under the Civil Service Code in [your organisation] it would be investigated properly?,E01. During the past 12 months have you personally experienced discrimination at work?,E03. During the past 12 months have you personally experienced bullying or harassment at work?,E05. Did you report the bullying and harassment you experienced?,"E06. In your opinion, has this issue been resolved?","W01. Overall, how satisfied are you with your life nowadays? (0=Not at all satisfied, 10=Completely satisfied)","W02. Overall, to what extent do you feel the things you do in your life are worthwhile? (0=Not at all worthwhile, 10=Completely worthwhile)","W03. Overall, how happy did you feel yesterday? (0=Not at all happy, 10=Completely happy)","W04. Overall, how anxious did you feel yesterday? (0=Not at all anxious, 10= Completely anxious)",PERMA Index,Proxy Stress Index
Estyn,Estyn,ESTYN,80%,77%,86%,97%,83%,90%,62%,85%,89%,62%,77%,98%,88%,89%,70%,83%,97%,98%,82%,90%,92%,82%,86%,91%,86%,80%,86%,56%,92%,92%,87%,78%,65%,49%,57%,81%,91%,84%,83%,91%,93%,99%,92%,77%,81%,60%,69%,58%,88%,84%,67%,76%,74%,76%,81%,71%,74%,87%,82%,75%,80%,78%,80%,68%,96%,85%,87%,69%,81%,80%,87%,63%,60%,97%,93%,91%,12%,7%,83%,17%,82%,82%,73%,31%,81%,20%
Food Standards Agency,Food Standards Agency,FSA,85%,64%,78%,85%,73%,80%,62%,78%,75%,29%,53%,92%,84%,81%,62%,74%,83%,86%,73%,85%,84%,71%,75%,81%,76%,70%,70%,41%,82%,80%,77%,73%,59%,60%,56%,81%,85%,68%,77%,72%,80%,91%,80%,59%,67%,25%,36%,26%,60%,63%,63%,59%,38%,36%,59%,45%,48%,69%,58%,53%,55%,54%,59%,45%,91%,73%,69%,66%,75%,60%,71%,57%,51%,95%,77%,72%,13%,14%,36%,23%,67%,72%,65%,30%,74%,29%
Foreign & Commonwealth Office,Foreign & Commonwealth Office,FCO,87%,72%,80%,84%,73%,82%,61%,79%,77%,29%,60%,93%,82%,82%,67%,77%,82%,86%,75%,79%,81%,70%,76%,82%,70%,72%,69%,55%,85%,83%,79%,67%,63%,54%,59%,79%,85%,75%,78%,77%,82%,91%,77%,66%,71%,30%,33%,25%,76%,72%,55%,64%,53%,48%,66%,52%,56%,81%,69%,70%,68%,65%,61%,51%,90%,72%,73%,68%,75%,65%,69%,46%,46%,74%,59%,64%,15%,13%,41%,18%,68%,74%,67%,32%,76%,27%
Foreign & Commonwealth Office,FCO Services,FCOS,79%,60%,76%,74%,67%,79%,51%,76%,69%,20%,43%,90%,77%,78%,58%,77%,72%,77%,69%,83%,82%,64%,73%,76%,59%,59%,64%,37%,82%,80%,75%,64%,53%,45%,42%,80%,85%,64%,77%,65%,70%,88%,67%,59%,66%,20%,21%,17%,51%,48%,48%,43%,29%,32%,56%,37%,45%,61%,54%,51%,48%,45%,43%,36%,90%,72%,63%,65%,73%,43%,62%,38%,35%,86%,67%,65%,13%,11%,33%,10%,67%,73%,65%,26%,74%,30%
Foreign & Commonwealth Office,Wilton Park,WPEA,95%,75%,82%,80%,80%,92%,51%,81%,80%,33%,51%,99%,91%,87%,63%,69%,77%,83%,83%,91%,91%,76%,83%,89%,84%,75%,80%,50%,96%,93%,85%,71%,57%,32%,44%,88%,84%,73%,79%,80%,84%,99%,84%,60%,71%,28%,39%,32%,43%,57%,56%,52%,45%,47%,63%,45%,53%,84%,71%,71%,72%,68%,59%,53%,88%,80%,76%,75%,72%,60%,83%,40%,37%,96%,80%,81%,9%,5%,50%,0%,68%,77%,73%,25%,79%,25%
Government Actuary's Department,Government Actuary's Department,GAD,89%,61%,76%,76%,66%,79%,48%,73%,72%,34%,42%,88%,80%,76%,61%,73%,73%,80%,66%,82%,79%,59%,76%,72%,64%,59%,63%,35%,81%,81%,76%,54%,53%,39%,46%,76%,86%,62%,70%,75%,70%,86%,77%,60%,67%,36%,36%,31%,42%,45%,40%,37%,24%,37%,52%,49%,53%,65%,57%,48%,51%,44%,41%,29%,89%,69%,78%,60%,66%,40%,62%,47%,29%,93%,67%,70%,10%,8%,33%,15%,60%,67%,56%,34%,71%,29%
Government Equalities Office,Government Equalities Office,GEO,88%,66%,74%,70%,71%,80%,47%,75%,67%,45%,50%,89%,70%,72%,59%,79%,62%,77%,76%,85%,86%,63%,77%,87%,63%,61%,71%,43%,87%,83%,70%,54%,45%,51%,39%,80%,82%,67%,71%,67%,61%,86%,75%,52%,60%,46%,47%,42%,88%,52%,38%,52%,42%,23%,61%,39%,53%,79%,56%,60%,55%,48%,54%,20%,80%,70%,65%,63%,66%,53%,70%,64%,36%,98%,54%,68%,10%,14%,54%,23%,58%,66%,56%,44%,72%,31%
Government Legal Department,Government Legal Department,GLD,77%,63%,80%,79%,72%,81%,64%,82%,73%,15%,50%,92%,85%,81%,59%,81%,79%,78%,75%,88%,86%,63%,80%,84%,70%,67%,70%,36%,86%,82%,74%,74%,69%,58%,57%,84%,89%,73%,82%,74%,76%,91%,71%,61%,68%,15%,16%,12%,68%,58%,43%,52%,42%,34%,65%,43%,47%,70%,65%,49%,52%,47%,60%,45%,94%,73%,73%,68%,82%,56%,71%,56%,42%,94%,67%,79%,9%,9%,43%,26%,66%,71%,62%,36%,74%,27%
Health and Social Care,Department of Health and Social Care,DHSC,77%,63%,77%,85%,73%,85%,60%,80%,73%,33%,50%,89%,82%,76%,61%,79%,85%,86%,76%,89%,87%,70%,80%,84%,69%,67%,66%,40%,87%,86%,81%,66%,57%,61%,55%,85%,86%,72%,76%,71%,79%,88%,75%,57%,66%,35%,35%,30%,70%,63%,42%,59%,30%,31%,64%,40%,47%,67%,59%,52%,51%,48%,56%,42%,89%,75%,67%,62%,72%,57%,73%,73%,47%,94%,62%,71%,8%,8%,38%,28%,66%,72%,62%,37%,74%,27%
Health and Social Care,Medicines and Healthcare Products Regulatory Agency,MHRA,71%,62%,77%,81%,69%,78%,48%,76%,73%,28%,45%,90%,80%,78%,59%,79%,79%,83%,68%,83%,83%,68%,76%,78%,66%,62%,66%,42%,82%,79%,74%,62%,49%,37%,43%,79%,84%,69%,73%,72%,77%,92%,74%,58%,66%,30%,30%,24%,59%,51%,41%,43%,40%,33%,60%,35%,43%,71%,55%,50%,50%,46%,40%,29%,90%,71%,63%,58%,74%,49%,69%,44%,38%,93%,65%,67%,10%,10%,24%,8%,68%,75%,63%,34%,74%,30%
Health and Social Care,Public Health England,PHE,78%,61%,79%,78%,70%,81%,54%,80%,74%,35%,44%,93%,80%,80%,62%,78%,78%,78%,71%,85%,83%,62%,75%,80%,67%,64%,70%,39%,84%,82%,77%,66%,58%,43%,50%,81%,86%,72%,80%,73%,79%,91%,73%,61%,68%,37%,35%,33%,53%,51%,45%,46%,30%,27%,59%,43%,44%,66%,56%,44%,48%,46%,49%,41%,91%,73%,69%,63%,79%,47%,68%,42%,34%,79%,54%,62%,11%,12%,42%,19%,68%,75%,66%,31%,75%,28%
HM Inspectorate of Constabulary and Fire & Rescue Services,HM Inspectorate of Constabulary and Fire & Rescue Services,HMICFR,75%,68%,81%,89%,70%,83%,50%,79%,73%,49%,42%,97%,86%,88%,57%,79%,89%,90%,76%,85%,84%,70%,82%,78%,64%,58%,65%,38%,87%,85%,77%,58%,53%,41%,46%,81%,86%,73%,76%,65%,80%,94%,73%,62%,65%,53%,49%,44%,41%,40%,51%,44%,28%,33%,53%,43%,48%,75%,64%,60%,62%,62%,47%,32%,89%,75%,67%,72%,73%,45%,78%,46%,34%,89%,58%,64%,12%,11%,47%,11%,75%,82%,72%,27%,79%,28%
HM Revenue & Customs,HM Revenue & Customs,HMRC,64%,49%,67%,80%,69%,82%,54%,73%,68%,22%,38%,82%,76%,68%,47%,60%,79%,82%,69%,83%,79%,66%,72%,77%,71%,63%,66%,44%,87%,84%,76%,63%,51%,56%,44%,76%,85%,57%,72%,62%,73%,79%,62%,63%,70%,21%,25%,19%,55%,46%,37%,36%,26%,25%,50%,29%,39%,40%,39%,39%,36%,35%,40%,36%,85%,64%,65%,62%,73%,42%,68%,59%,47%,93%,73%,65%,16%,14%,37%,20%,61%,66%,58%,33%,70%,33%
HM Revenue & Customs,Valuation Office Agency,VOA,62%,44%,63%,66%,66%,74%,46%,68%,62%,23%,25%,78%,72%,62%,40%,62%,63%,70%,65%,82%,75%,61%,69%,74%,73%,57%,65%,36%,83%,76%,63%,53%,49%,42%,41%,71%,82%,52%,66%,51%,68%,79%,49%,56%,69%,22%,29%,18%,38%,27%,24%,18%,11%,12%,39%,23%,28%,29%,27%,39%,28%,26%,25%,20%,84%,54%,53%,56%,66%,28%,64%,51%,36%,92%,74%,64%,14%,10%,29%,17%,60%,65%,58%,32%,68%,35%
HM Treasury and Chancellor's departments,HM Treasury,HMT,98%,75%,81%,87%,73%,84%,61%,82%,75%,29%,63%,92%,84%,81%,67%,82%,88%,86%,76%,87%,87%,70%,82%,83%,67%,67%,68%,38%,88%,85%,80%,66%,57%,66%,55%,88%,91%,77%,74%,77%,74%,89%,80%,64%,66%,32%,33%,21%,78%,71%,53%,71%,54%,54%,73%,54%,62%,89%,82%,64%,71%,67%,69%,50%,90%,77%,80%,72%,79%,68%,73%,60%,38%,95%,56%,80%,9%,10%,35%,30%,69%,72%,61%,39%,75%,26%
HM Treasury and Chancellor's departments,Government Internal Audit Agency,GIAA,90%,50%,74%,75%,66%,72%,44%,70%,65%,27%,39%,88%,85%,75%,54%,71%,75%,75%,67%,85%,78%,59%,71%,75%,69%,62%,60%,34%,76%,72%,68%,52%,44%,42%,39%,74%,79%,62%,67%,57%,69%,85%,58%,55%,68%,28%,30%,23%,56%,44%,40%,35%,24%,30%,52%,33%,37%,43%,35%,26%,32%,29%,51%,42%,80%,64%,58%,60%,66%,41%,69%,78%,58%,97%,79%,67%,14%,14%,41%,24%,71%,73%,67%,30%,73%,33%
HM Treasury and Chancellor's departments,UK Debt Management Office,DMO,64%,70%,75%,93%,74%,86%,48%,86%,80%,23%,62%,90%,79%,77%,59%,71%,93%,93%,71%,90%,80%,74%,77%,83%,72%,72%,74%,52%,94%,84%,79%,68%,47%,34%,43%,87%,93%,77%,85%,74%,78%,95%,83%,74%,77%,26%,23%,21%,79%,72%,68%,68%,51%,57%,68%,53%,46%,77%,64%,64%,57%,62%,49%,30%,87%,61%,70%,66%,84%,57%,63%,45%,43%,89%,75%,74%,3%,3%,67%,0%,67%,71%,57%,25%,74%,23%
Home Office,Home Office group,HOMEOFFICEGROUP,60%,56%,70%,81%,65%,77%,50%,72%,68%,26%,42%,87%,76%,71%,52%,63%,79%,83%,66%,78%,76%,63%,71%,75%,64%,60%,62%,39%,83%,78%,71%,59%,49%,51%,42%,75%,82%,61%,71%,64%,73%,83%,61%,59%,66%,27%,28%,24%,57%,48%,44%,42%,30%,28%,52%,33%,40%,52%,47%,43%,43%,42%,42%,34%,85%,63%,61%,62%,71%,43%,64%,47%,40%,88%,63%,60%,16%,14%,39%,19%,62%,68%,60%,32%,72%,32%
Home Office,Home Office: Policy and Enablers (formerly known as Home Office HQ),PE,74%,60%,79%,82%,70%,81%,58%,78%,69%,34%,44%,91%,82%,78%,63%,79%,81%,84%,72%,85%,83%,65%,76%,80%,65%,63%,67%,39%,84%,82%,77%,64%,54%,61%,53%,80%,85%,70%,77%,68%,73%,87%,62%,58%,66%,36%,35%,30%,61%,52%,36%,46%,27%,28%,56%,38%,46%,57%,55%,46%,46%,44%,51%,41%,89%,73%,62%,66%,76%,48%,70%,58%,44%,92%,64%,68%,12%,11%,34%,20%,66%,72%,64%,33%,74%,29%
Home Office,Home Office: Border Force,BF,40%,49%,64%,77%,60%,69%,40%,64%,57%,21%,31%,86%,74%,68%,41%,48%,75%,78%,61%,71%,70%,54%,66%,73%,59%,52%,57%,34%,78%,69%,60%,47%,40%,42%,33%,67%,78%,53%,60%,54%,64%,75%,46%,52%,51%,22%,19%,20%,46%,40%,32%,31%,19%,15%,42%,24%,28%,44%,32%,37%,32%,30%,28%,24%,78%,53%,47%,58%,61%,33%,56%,34%,26%,87%,62%,51%,21%,17%,38%,15%,59%,66%,58%,31%,70%,38%
Home Office,Home Office: Immigration Enforcement,IE,65%,54%,69%,81%,65%,75%,47%,70%,67%,23%,37%,87%,75%,68%,52%,63%,80%,83%,64%,79%,76%,63%,69%,75%,64%,60%,62%,35%,80%,76%,67%,58%,48%,44%,39%,73%,79%,59%,68%,62%,70%,82%,59%,60%,65%,23%,24%,21%,54%,43%,40%,37%,25%,23%,48%,31%,37%,47%,42%,43%,41%,39%,40%,34%,83%,61%,57%,60%,67%,38%,62%,41%,36%,91%,67%,57%,20%,18%,43%,16%,62%,67%,60%,32%,70%,34%
Home Office,Home Office: UK Visas and Immigration,UKVI,62%,59%,69%,80%,64%,78%,50%,75%,71%,29%,47%,86%,74%,69%,52%,62%,76%,83%,66%,75%,73%,61%,70%,73%,62%,60%,60%,41%,84%,79%,71%,58%,46%,54%,41%,77%,84%,62%,76%,67%,77%,85%,66%,60%,71%,28%,31%,27%,64%,54%,53%,49%,37%,34%,54%,36%,44%,54%,56%,43%,48%,46%,45%,35%,87%,62%,65%,63%,75%,49%,64%,48%,45%,85%,60%,64%,14%,12%,38%,21%,62%,68%,59%,33%,72%,31%
Home Office,HM Passport Office,HMPO,68%,58%,70%,84%,70%,84%,57%,72%,74%,23%,45%,87%,79%,73%,50%,60%,82%,86%,71%,78%,78%,72%,73%,78%,73%,67%,66%,44%,87%,85%,80%,68%,58%,54%,47%,73%,83%,60%,73%,70%,80%,86%,71%,66%,72%,22%,25%,21%,54%,45%,54%,40%,40%,38%,58%,35%,42%,55%,46%,46%,47%,45%,41%,35%,88%,67%,73%,62%,73%,41%,65%,53%,49%,84%,64%,59%,17%,15%,43%,23%,60%,66%,60%,33%,72%,31%
"Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government (excluding agencies)",MHCLG,94%,66%,82%,87%,76%,87%,64%,84%,74%,40%,61%,92%,84%,83%,68%,81%,87%,88%,80%,89%,88%,72%,84%,86%,74%,73%,74%,44%,90%,88%,81%,71%,62%,65%,57%,87%,90%,79%,81%,76%,77%,89%,68%,64%,70%,42%,43%,36%,76%,69%,57%,66%,47%,50%,70%,53%,59%,68%,72%,51%,58%,58%,67%,47%,90%,77%,74%,69%,80%,63%,76%,79%,58%,97%,68%,79%,8%,8%,33%,18%,70%,75%,64%,34%,76%,25%
"Housing, Communities and Local Government",Planning Inspectorate,PINS,75%,61%,81%,87%,74%,78%,55%,79%,71%,27%,49%,93%,88%,84%,56%,85%,85%,90%,74%,90%,86%,73%,83%,83%,72%,68%,75%,40%,84%,76%,74%,68%,59%,42%,51%,84%,89%,68%,75%,75%,82%,92%,62%,54%,61%,26%,35%,22%,61%,52%,47%,43%,34%,29%,66%,52%,58%,63%,49%,54%,49%,44%,48%,32%,94%,69%,64%,71%,74%,48%,70%,68%,50%,94%,71%,81%,7%,7%,47%,21%,65%,71%,62%,31%,75%,27%
Justice,Ministry of Justice (including agencies),MOJGROUP,49%,57%,72%,77%,65%,77%,48%,72%,68%,22%,39%,88%,80%,74%,51%,65%,76%,78%,67%,77%,76%,62%,70%,74%,63%,60%,62%,40%,82%,79%,71%,57%,47%,46%,42%,76%,82%,61%,71%,65%,75%,87%,63%,57%,64%,21%,26%,19%,54%,49%,39%,39%,29%,25%,49%,31%,37%,57%,40%,49%,43%,41%,37%,31%,88%,65%,62%,66%,71%,43%,61%,42%,39%,82%,64%,61%,14%,13%,45%,19%,64%,70%,61%,33%,72%,32%
Justice,Ministry of Justice (HQ),MOJHQ,87%,60%,76%,79%,71%,82%,54%,79%,72%,31%,43%,89%,78%,75%,58%,81%,77%,80%,73%,87%,84%,65%,77%,80%,69%,65%,67%,40%,85%,83%,78%,61%,50%,56%,47%,80%,87%,69%,80%,68%,70%,88%,69%,63%,74%,32%,35%,27%,63%,52%,37%,42%,30%,27%,54%,36%,44%,64%,54%,45%,47%,44%,50%,38%,90%,74%,64%,67%,80%,50%,71%,62%,49%,92%,67%,69%,11%,10%,43%,15%,69%,73%,65%,32%,73%,29%
Justice,Criminal Injuries Compensation Authority,CICA,74%,64%,75%,90%,73%,80%,58%,78%,79%,12%,56%,91%,78%,78%,60%,67%,90%,91%,71%,85%,80%,75%,79%,78%,77%,69%,72%,47%,86%,80%,74%,71%,64%,48%,48%,81%,88%,64%,79%,77%,78%,91%,83%,66%,79%,10%,19%,7%,71%,56%,59%,50%,51%,49%,71%,43%,53%,68%,54%,62%,59%,57%,54%,47%,86%,66%,72%,71%,78%,52%,70%,67%,52%,92%,72%,68%,12%,13%,30%,12%,73%,75%,69%,29%,75%,30%
Justice,HM Courts and Tribunals Service,HMCTS,61%,49%,68%,72%,64%,77%,42%,70%,68%,14%,35%,86%,76%,71%,46%,60%,70%,74%,64%,78%,74%,59%,67%,73%,63%,58%,61%,39%,83%,79%,70%,58%,41%,38%,34%,74%,81%,57%,69%,65%,76%,86%,59%,56%,66%,12%,19%,10%,50%,42%,40%,32%,25%,21%,47%,28%,35%,45%,30%,38%,34%,32%,35%,32%,89%,65%,64%,61%,68%,39%,57%,47%,42%,87%,73%,64%,13%,12%,48%,17%,61%,67%,59%,33%,70%,34%
Justice,HM Prison and Probation Service (HQ),HMPPHQ,60%,65%,83%,88%,75%,86%,61%,82%,76%,46%,49%,94%,86%,84%,66%,83%,86%,90%,79%,88%,86%,75%,82%,83%,72%,72%,73%,44%,88%,87%,83%,64%,57%,63%,60%,85%,89%,76%,79%,75%,81%,91%,70%,65%,73%,48%,49%,40%,65%,62%,49%,54%,35%,30%,61%,41%,46%,70%,53%,61%,55%,53%,49%,39%,93%,77%,70%,74%,77%,54%,76%,46%,43%,90%,69%,70%,12%,10%,42%,24%,70%,77%,67%,31%,77%,26%
Justice,HM Prison Service,HMPS,27%,57%,71%,73%,58%,72%,48%,68%,65%,26%,36%,86%,80%,73%,53%,63%,72%,73%,61%,66%,69%,55%,64%,67%,53%,52%,54%,38%,77%,73%,66%,51%,47%,49%,44%,71%,79%,56%,67%,60%,71%,84%,61%,54%,58%,26%,27%,24%,48%,46%,35%,36%,30%,26%,41%,27%,34%,60%,39%,53%,44%,41%,28%,26%,86%,60%,54%,71%,68%,39%,53%,31%,33%,72%,60%,52%,18%,16%,40%,17%,65%,70%,62%,31%,72%,35%
Justice,Legal Aid Agency,LAA,88%,71%,81%,90%,81%,89%,66%,88%,84%,32%,64%,89%,83%,80%,71%,83%,88%,92%,82%,92%,90%,79%,84%,87%,84%,78%,79%,59%,92%,89%,87%,81%,64%,64%,56%,89%,92%,78%,91%,80%,89%,92%,76%,80%,86%,26%,46%,25%,76%,69%,70%,63%,57%,52%,69%,52%,65%,71%,74%,66%,67%,66%,68%,66%,95%,84%,82%,81%,91%,67%,79%,76%,71%,92%,77%,81%,8%,6%,53%,22%,68%,74%,68%,32%,76%,21%
Justice,MoJ Arms Length and Other Bodies,ALOB,74%,62%,74%,82%,68%,76%,44%,75%,70%,25%,52%,89%,80%,76%,56%,71%,81%,83%,68%,86%,80%,70%,72%,77%,66%,59%,62%,37%,81%,79%,69%,57%,43%,41%,37%,76%,82%,64%,75%,67%,72%,89%,69%,56%,68%,25%,28%,23%,69%,58%,53%,51%,41%,37%,64%,45%,49%,66%,52%,51%,51%,48%,53%,38%,85%,66%,68%,64%,74%,51%,62%,50%,39%,81%,56%,62%,12%,12%,42%,18%,62%,68%,60%,35%,72%,31%
Justice,National Probation Service,NPS,73%,58%,74%,83%,68%,77%,47%,73%,66%,17%,37%,94%,86%,79%,47%,63%,82%,84%,69%,79%,77%,67%,73%,78%,68%,65%,65%,37%,83%,79%,70%,53%,50%,43%,42%,77%,85%,61%,69%,63%,77%,88%,62%,51%,57%,16%,20%,16%,53%,53%,30%,41%,27%,18%,49%,29%,34%,60%,39%,53%,45%,42%,34%,26%,88%,62%,60%,66%,69%,45%,62%,31%,31%,78%,52%,57%,15%,13%,48%,24%,64%,73%,61%,35%,74%,32%
Justice,Office of the Public Guardian,OPG,76%,58%,65%,82%,68%,77%,49%,69%,71%,18%,43%,81%,67%,66%,46%,61%,81%,84%,69%,77%,76%,64%,70%,75%,72%,68%,62%,46%,83%,79%,70%,59%,46%,54%,38%,71%,78%,56%,71%,69%,76%,87%,63%,63%,69%,16%,23%,14%,62%,44%,48%,41%,32%,35%,50%,35%,41%,60%,50%,43%,44%,45%,41%,30%,87%,60%,60%,54%,69%,44%,63%,54%,49%,84%,61%,56%,21%,17%,53%,15%,55%,62%,53%,34%,69%,33%
National Crime Agency,National Crime Agency,NCA,61%,50%,66%,69%,60%,75%,32%,67%,58%,23%,23%,85%,69%,68%,43%,63%,69%,69%,60%,81%,75%,52%,66%,72%,55%,50%,57%,31%,82%,77%,66%,33%,36%,29%,30%,71%,81%,51%,65%,53%,59%,76%,42%,54%,66%,25%,23%,21%,29%,28%,25%,22%,10%,12%,33%,20%,27%,53%,28%,38%,32%,28%,25%,21%,83%,61%,52%,67%,69%,26%,58%,32%,23%,92%,66%,55%,20%,15%,34%,15%,64%,70%,63%,28%,70%,37%
National Savings and Investments,National Savings and Investments,NSANDI,90%,67%,80%,84%,72%,84%,65%,77%,77%,34%,55%,90%,82%,76%,69%,83%,84%,84%,72%,89%,87%,72%,76%,79%,70%,61%,67%,42%,85%,87%,81%,85%,66%,45%,60%,77%,84%,68%,80%,73%,84%,94%,72%,64%,73%,35%,41%,26%,66%,58%,54%,49%,34%,49%,66%,51%,63%,70%,67%,60%,57%,58%,57%,44%,90%,76%,80%,65%,77%,58%,69%,56%,41%,87%,70%,79%,10%,10%,25%,5%,70%,77%,71%,26%,74%,27%
Office of Rail and Road,Office of Rail and Road,ORR,76%,60%,83%,84%,72%,84%,62%,77%,75%,26%,51%,92%,85%,82%,70%,87%,83%,84%,78%,92%,90%,72%,85%,80%,68%,61%,59%,38%,87%,87%,79%,78%,68%,41%,60%,79%,86%,70%,75%,73%,79%,93%,69%,66%,72%,30%,27%,23%,74%,66%,47%,62%,27%,32%,54%,43%,54%,58%,61%,39%,47%,50%,58%,35%,94%,81%,70%,66%,64%,54%,72%,47%,31%,93%,63%,71%,12%,9%,19%,14%,67%,75%,65%,25%,75%,26%
Ofgem,Ofgem,OFGEM,77%,61%,76%,81%,69%,83%,51%,79%,70%,27%,45%,89%,79%,74%,57%,80%,79%,83%,68%,87%,86%,62%,78%,79%,65%,62%,63%,36%,87%,84%,77%,55%,51%,51%,47%,82%,89%,69%,76%,69%,69%,90%,69%,55%,67%,27%,32%,22%,65%,50%,41%,47%,28%,29%,53%,43%,47%,63%,61%,42%,48%,48%,42%,20%,90%,72%,67%,62%,71%,46%,63%,40%,28%,89%,55%,68%,10%,7%,33%,19%,65%,69%,61%,34%,73%,29%
Ofqual,Ofqual,OFQUAL,91%,69%,81%,93%,78%,90%,61%,81%,82%,60%,68%,93%,83%,81%,64%,84%,93%,92%,79%,91%,88%,74%,84%,89%,81%,71%,72%,52%,91%,92%,87%,79%,62%,51%,54%,85%,86%,72%,80%,76%,86%,94%,88%,69%,77%,58%,61%,61%,75%,74%,74%,73%,63%,56%,81%,60%,58%,70%,69%,55%,64%,64%,70%,55%,84%,75%,74%,69%,77%,70%,79%,66%,46%,96%,69%,76%,8%,8%,47%,7%,69%,74%,66%,29%,76%,22%
Ofsted,Ofsted,OFSTED,86%,68%,78%,90%,75%,85%,58%,82%,77%,49%,63%,92%,83%,82%,59%,73%,90%,90%,75%,87%,84%,73%,81%,84%,76%,73%,74%,47%,91%,87%,77%,69%,63%,49%,51%,83%,89%,75%,80%,76%,85%,93%,78%,62%,66%,49%,55%,44%,80%,76%,70%,71%,49%,47%,74%,52%,50%,73%,65%,58%,64%,61%,65%,57%,89%,68%,74%,73%,79%,71%,78%,59%,51%,89%,71%,78%,9%,6%,41%,19%,68%,75%,65%,30%,77%,25%
Scottish Government,Scottish Government,SG,78%,65%,79%,81%,72%,82%,58%,82%,74%,47%,47%,92%,83%,79%,63%,80%,80%,83%,73%,89%,84%,63%,79%,82%,71%,67%,73%,40%,86%,83%,76%,63%,54%,63%,52%,85%,86%,72%,83%,71%,74%,90%,75%,62%,73%,48%,52%,40%,60%,56%,44%,52%,31%,31%,60%,40%,46%,66%,69%,52%,52%,48%,50%,37%,90%,74%,63%,64%,82%,50%,65%,39%,29%,92%,70%,74%,10%,11%,38%,22%,69%,73%,64%,30%,74%,28%
