Departmental grouping,Organisation,Employee engagement index,My work theme score (B01-B05),Organisational objectives and purpose theme score (B06-B08),My manager theme score (B09-B18),My team theme score (B19-B21),Learning and development theme score (B22-B25),Inclusion and fair treatment theme score (B26-B29),Resources and workload theme score (B30-B36),Pay and benefits theme score (B37-B39),Leadership and managing change theme score (B40-B49),B01. I am interested in my work (% strongly agree or agree),B02. I am sufficiently challenged by my work (% strongly agree or agree),B03. My work gives me a sense of personal accomplishment (% strongly agree or agree),B04. I feel involved in the decisions that affect my work (% strongly agree or agree),B05. I have a choice in deciding how I do my work (% strongly agree or agree),B06. I have a clear understanding of [my organisation's] purpose (% strongly agree or agree),B07. I have a clear understanding of [my organisation's] objectives (% strongly agree or agree),B08. I understand how my work contributes to [my organisation's] objectives (% strongly agree or agree),B09. My manager motivates me to be more effective in my job (% strongly agree or agree),B10. My manager is considerate of my life outside work (% strongly agree or agree),B11. My manager is open to my ideas (% strongly agree or agree),B12. My manager helps me to understand how I contribute to [my organisation's] objectives (% strongly agree or agree),"B13. Overall, I have confidence in the decisions made by my manager (% strongly agree or agree)",B14. My manager recognises when I have done my job well (% strongly agree or agree),B15. I receive regular feedback on my performance (% strongly agree or agree),B16. The feedback I receive helps me to improve my performance (% strongly agree or agree),B17. I think that my performance is evaluated fairly (% strongly agree or agree),B18. Poor performance is dealt with effectively in my team (% strongly agree or agree),B19. The people in my team can be relied upon to help when things get difficult in my job (% strongly agree or agree),B20. The people in my team work together to find ways to improve the service we provide (% strongly agree or agree),B21. The people in my team are encouraged to come up with new and better ways of doing things (% strongly agree or agree),B22. I am able to access the right learning and development opportunities when I need to (% strongly agree or agree),B23. Learning and development activities I have completed in the past 12 months have helped to improve my performance (% strongly agree or agree),B24. There are opportunities for me to develop my career in [my organisation] (% strongly agree or agree),B25. Learning and development activities I have completed while working for [my organisation] are helping me to develop my career (% strongly agree or agree),B26. I am treated fairly at work (% strongly agree or agree),B27. I am treated with respect by the people I work with (% strongly agree or agree),B28. I feel valued for the work I do (% strongly agree or agree),"B29. I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc) (% strongly agree or agree)","B30. In my job, I am clear what is expected of me (% strongly agree or agree)",B31. I get the information I need to do my job well (% strongly agree or agree),B32. I have clear work objectives (% strongly agree or agree),B33. I have the skills I need to do my job effectively (% strongly agree or agree),B34. I have the tools I need to do my job effectively (% strongly agree or agree),B35. I have an acceptable workload (% strongly agree or agree),B36. I achieve a good balance between my work life and my private life (% strongly agree or agree),B37. I feel that my pay adequately reflects my performance (% strongly agree or agree),B38. I am satisfied with the total benefits package (% strongly agree or agree),B39. Compared to people doing a similar job in other organisations I feel my pay is reasonable (% strongly agree or agree),B40. I feel that [my organisation] as a whole is managed well (% strongly agree or agree),B41. [Senior managers] in [my organisation] are sufficiently visible (% strongly agree or agree),B42. I believe the actions of [senior managers] are consistent with [my organisation's] values (% strongly agree or agree),B43. I believe that [the board has] a clear vision for the future of [my organisation] (% strongly agree or agree),"B44. Overall, I have confidence in the decisions made by [my organisation's senior managers] (% strongly agree or agree)",B45. I feel that change is managed well in [my organisation] (% strongly agree or agree),B46. When changes are made in [my organisation] they are usually for the better (% strongly agree or agree),B47. [My organisation] keeps me informed about matters that affect me (% strongly agree or agree),B48. I have the opportunity to contribute my views before decisions are made that affect me (% strongly agree or agree),B49. I think it is safe to challenge the way things are done in [my organisation] (% strongly agree or agree),B50. I am proud when I tell others I am part of [my organisation] (% strongly agree or agree),B51. I would recommend [my organisation] as a great place to work (% strongly agree or agree),B52. I feel a strong personal attachment to [my organisation] (% strongly agree or agree),B53. [My organisation] inspires me to do the best in my job (% strongly agree or agree),B54. [My organisation] motivates me to help it achieve its objectives (% strongly agree or agree),B55. I believe that [senior managers] in [my organisation] will take action on the results from this survey (% strongly agree or agree),B56. I believe that managers where I work will take action on the results from this survey (% strongly agree or agree),D01. Are you aware of the Civil Service Code? (% yes),D02. Are you aware of how to raise a concern under the Civil Service Code? (% yes),D03. Are you confident that if you raise a concern under the Civil Service Code in [your organisation] it would be investigated properly? (% yes),"E01. During the past 12 months, have you personally experienced discrimination at work? (% yes)","E03. During the past 12 months, have you personally experienced bullying or harassment at work? (% yes)"
Food Standards Agency,Meat Hygiene Service,36%,51%,62%,36%,52%,24%,45%,54%,25%,20%,82%,55%,52%,31%,33%,65%,59%,61%,34%,50%,50%,34%,35%,47%,28%,28%,35%,21%,60%,52%,43%,38%,24%,13%,19%,49%,62%,31%,39%,66%,37%,49%,86%,59%,43%,39%,25%,27%,23%,18%,23%,23%,28%,17%,15%,15%,33%,14%,18%,30%,15%,26%,17%,17%,15%,21%,85%,48%,31%,34%,43%
Foreign and Commonwealth Office,Foreign and Commonwealth Office,69%,79%,83%,69%,81%,61%,78%,79%,35%,53%,94%,82%,81%,65%,73%,83%,80%,85%,70%,69%,78%,66%,72%,80%,66%,70%,67%,53%,82%,82%,78%,67%,68%,47%,59%,79%,85%,73%,74%,88%,74%,83%,90%,74%,69%,72%,36%,39%,30%,59%,65%,60%,50%,53%,48%,41%,65%,44%,49%,79%,63%,65%,63%,59%,59%,60%,62%,36%,53%,16%,16%
Foreign and Commonwealth Office,FCO Services,60%,71%,73%,60%,73%,55%,72%,60%,29%,36%,88%,76%,70%,54%,69%,75%,67%,78%,61%,73%,75%,55%,64%,76%,53%,50%,56%,36%,78%,75%,66%,67%,57%,46%,50%,75%,84%,61%,69%,68%,51%,56%,80%,55%,49%,64%,30%,34%,23%,31%,41%,35%,44%,30%,25%,30%,54%,30%,43%,64%,51%,56%,46%,41%,39%,49%,60%,33%,45%,11%,10%
Foreign and Commonwealth Office,Wilton Park Executive Agency,72%,70%,87%,56%,80%,39%,64%,70%,50%,50%,92%,68%,75%,56%,60%,93%,78%,90%,49%,60%,64%,46%,60%,72%,60%,57%,56%,33%,84%,84%,74%,48%,49%,21%,35%,63%,72%,57%,66%,78%,62%,73%,89%,72%,51%,67%,45%,57%,45%,50%,60%,57%,61%,56%,33%,46%,60%,43%,44%,80%,58%,78%,73%,62%,51%,47%,69%,45%,56%,21%,22%
Health,Department of Health,60%,76%,82%,69%,79%,55%,78%,73%,50%,43%,90%,76%,73%,63%,79%,85%,80%,81%,68%,81%,82%,64%,77%,82%,66%,62%,68%,37%,83%,80%,74%,65%,52%,50%,51%,83%,86%,72%,72%,80%,66%,73%,89%,72%,62%,67%,52%,52%,45%,48%,53%,44%,41%,44%,27%,25%,62%,40%,42%,58%,50%,47%,44%,43%,45%,56%,87%,49%,63%,9%,12%
Health,Medicines and Healthcare Products Regulatory Agency,64%,77%,91%,63%,74%,58%,77%,77%,41%,53%,93%,77%,81%,61%,74%,96%,87%,92%,61%,75%,75%,61%,71%,73%,63%,56%,60%,33%,81%,74%,66%,81%,61%,42%,49%,80%,88%,67%,72%,87%,73%,76%,92%,82%,59%,69%,40%,51%,34%,63%,58%,52%,55%,57%,38%,42%,73%,48%,44%,73%,62%,53%,51%,49%,47%,42%,69%,27%,48%,11%,11%
HM Revenue & Customs,HM Revenue & Customs,36%,51%,62%,56%,71%,32%,62%,60%,24%,17%,73%,59%,50%,29%,42%,63%,60%,64%,52%,71%,69%,48%,60%,70%,57%,49%,55%,33%,80%,74%,60%,50%,40%,17%,20%,70%,82%,39%,57%,73%,41%,58%,75%,51%,55%,66%,23%,25%,23%,13%,22%,19%,15%,12%,12%,9%,33%,15%,21%,18%,14%,21%,15%,13%,15%,25%,72%,43%,46%,12%,12%
HM Revenue & Customs,Valuation Office Agency,51%,67%,79%,61%,71%,47%,71%,71%,22%,31%,83%,72%,66%,46%,69%,80%,75%,81%,57%,74%,74%,61%,67%,72%,58%,52%,62%,32%,81%,72%,60%,67%,53%,31%,35%,76%,83%,56%,70%,84%,58%,77%,85%,68%,57%,68%,19%,30%,16%,34%,34%,32%,30%,24%,25%,21%,45%,26%,36%,33%,33%,41%,31%,28%,22%,36%,70%,44%,55%,9%,7%
HM Treasury,HM Treasury,69%,81%,84%,67%,81%,57%,77%,70%,31%,53%,94%,84%,80%,69%,80%,88%,84%,81%,69%,80%,85%,59%,78%,80%,59%,61%,60%,33%,84%,81%,78%,66%,59%,51%,55%,85%,89%,70%,66%,77%,68%,70%,84%,72%,59%,60%,32%,38%,24%,63%,64%,54%,47%,58%,37%,39%,66%,43%,55%,83%,70%,58%,63%,59%,51%,53%,93%,46%,72%,7%,7%
Chancellor's Other Departments,Buying Solutions,59%,70%,79%,65%,78%,49%,71%,63%,54%,33%,88%,77%,69%,48%,71%,84%,78%,76%,63%,81%,83%,56%,72%,78%,59%,54%,58%,41%,85%,80%,68%,54%,50%,43%,49%,76%,87%,60%,63%,68%,48%,52%,83%,64%,60%,71%,54%,63%,46%,37%,32%,29%,37%,28%,26%,24%,49%,31%,33%,45%,54%,48%,43%,40%,35%,42%,85%,49%,65%,10%,9%
Chancellor's Other Departments,National Savings and Investment,69%,75%,93%,67%,82%,54%,82%,75%,44%,65%,90%,73%,71%,62%,78%,98%,90%,91%,61%,87%,85%,63%,76%,80%,56%,56%,66%,35%,85%,85%,76%,74%,58%,31%,52%,84%,87%,71%,85%,82%,60%,79%,91%,68%,66%,78%,46%,49%,38%,82%,61%,64%,81%,64%,51%,58%,71%,51%,69%,75%,73%,67%,58%,58%,53%,56%,78%,47%,70%,4%,4%
Chancellor's Other Departments,Office of Government Commerce,63%,79%,88%,70%,85%,49%,81%,74%,48%,53%,90%,76%,77%,69%,83%,89%,86%,87%,71%,86%,82%,65%,80%,84%,65%,63%,63%,37%,86%,87%,82%,68%,50%,33%,46%,84%,91%,73%,75%,85%,71%,73%,91%,77%,60%,64%,50%,52%,43%,61%,59%,49%,61%,64%,33%,35%,68%,44%,50%,57%,57%,48%,51%,49%,64%,68%,85%,40%,63%,9%,7%
Chancellor's Other Departments,UK Debt Management Office,63%,70%,89%,49%,62%,50%,67%,61%,33%,52%,89%,75%,70%,44%,71%,95%,89%,84%,38%,67%,67%,44%,50%,62%,38%,45%,50%,25%,69%,58%,61%,67%,58%,29%,45%,75%,78%,52%,64%,57%,57%,45%,88%,65%,58%,55%,36%,35%,27%,61%,73%,65%,49%,59%,29%,40%,47%,41%,48%,64%,48%,54%,53%,45%,35%,27%,82%,50%,71%,4%,11%
Home Office,Home Office,60%,76%,84%,67%,79%,59%,78%,71%,45%,43%,91%,76%,74%,62%,76%,86%,84%,83%,65%,77%,81%,60%,75%,79%,66%,62%,66%,41%,82%,81%,75%,71%,57%,55%,53%,82%,86%,67%,76%,79%,65%,72%,86%,72%,60%,64%,47%,48%,40%,46%,52%,46%,42%,43%,29%,29%,61%,37%,43%,58%,53%,45%,45%,43%,48%,53%,82%,48%,63%,9%,9%
Home Office,Criminal Records Bureau,58%,66%,91%,64%,75%,54%,73%,76%,35%,45%,86%,66%,67%,49%,62%,94%,91%,88%,61%,71%,74%,62%,70%,78%,64%,59%,63%,42%,83%,77%,64%,67%,46%,60%,43%,79%,85%,57%,71%,86%,64%,72%,88%,72%,72%,78%,33%,36%,36%,49%,55%,41%,49%,44%,35%,41%,60%,35%,39%,55%,55%,41%,46%,42%,33%,37%,51%,34%,37%,13%,8%
Home Office,Identity and Passport Service,55%,63%,83%,62%,74%,50%,70%,75%,28%,36%,85%,63%,65%,46%,55%,86%,81%,82%,59%,69%,71%,59%,66%,75%,64%,58%,63%,41%,80%,75%,66%,67%,46%,49%,39%,74%,81%,55%,71%,86%,66%,76%,89%,75%,65%,71%,28%,30%,26%,40%,37%,33%,35%,30%,38%,30%,54%,27%,35%,45%,42%,35%,35%,33%,28%,36%,70%,51%,60%,12%,11%
Home Office,UK Border Agency,48%,60%,72%,58%,69%,41%,65%,63%,28%,25%,84%,65%,59%,40%,50%,73%,70%,74%,55%,67%,69%,52%,62%,71%,57%,52%,56%,38%,77%,70%,59%,54%,41%,36%,32%,69%,78%,48%,65%,75%,49%,64%,81%,54%,54%,62%,29%,30%,25%,23%,32%,27%,28%,21%,18%,17%,39%,21%,26%,36%,31%,30%,28%,25%,25%,30%,67%,41%,44%,16%,14%
International Development,Department for International Development,72%,81%,93%,72%,81%,63%,81%,76%,42%,52%,96%,85%,82%,67%,77%,95%,93%,91%,72%,80%,83%,68%,76%,82%,69%,71%,69%,48%,82%,82%,78%,68%,69%,52%,63%,83%,89%,74%,78%,84%,75%,84%,89%,79%,60%,65%,43%,47%,35%,59%,60%,56%,57%,53%,40%,37%,70%,46%,42%,85%,69%,72%,68%,65%,59%,70%,74%,39%,60%,10%,9%
Justice,Ministry of Justice,55%,75%,75%,66%,79%,48%,76%,72%,39%,36%,89%,77%,74%,57%,76%,77%,72%,77%,65%,79%,80%,57%,73%,77%,62%,61%,64%,42%,82%,80%,75%,60%,47%,43%,43%,81%,85%,66%,74%,80%,62%,73%,87%,71%,62%,68%,41%,42%,34%,37%,42%,37%,33%,34%,27%,25%,55%,34%,38%,53%,43%,33%,35%,33%,44%,57%,78%,49%,62%,10%,11%
Justice,Criminal Injuries Compensation Authority,49%,58%,85%,62%,76%,47%,70%,69%,25%,28%,83%,56%,59%,37%,57%,90%,83%,82%,59%,72%,75%,61%,68%,69%,58%,54%,60%,42%,87%,77%,65%,67%,40%,50%,31%,77%,87%,45%,69%,77%,50%,66%,87%,66%,64%,75%,25%,30%,20%,29%,38%,28%,30%,23%,21%,23%,36%,21%,30%,39%,29%,36%,32%,29%,27%,37%,65%,41%,46%,14%,14%
Justice,HM Courts Service,51%,66%,73%,58%,73%,43%,68%,72%,22%,28%,87%,72%,70%,45%,58%,76%,70%,74%,56%,69%,69%,52%,61%,69%,56%,54%,58%,38%,79%,75%,65%,59%,46%,32%,34%,73%,80%,52%,68%,87%,60%,75%,88%,68%,55%,67%,21%,26%,18%,29%,31%,30%,28%,23%,23%,18%,46%,23%,29%,42%,28%,32%,30%,27%,29%,38%,61%,45%,49%,12%,11%
Justice,Land Registry,44%,57%,69%,47%,68%,31%,57%,68%,35%,19%,78%,65%,59%,30%,51%,73%,63%,72%,41%,60%,61%,44%,50%,61%,43%,39%,45%,20%,77%,71%,55%,50%,41%,11%,22%,64%,80%,35%,51%,78%,53%,62%,78%,70%,62%,70%,33%,37%,35%,17%,22%,18%,25%,10%,15%,13%,35%,12%,21%,31%,20%,41%,22%,17%,14%,22%,71%,34%,40%,13%,11%
Justice,National Offender Management Service,52%,67%,60%,57%,69%,44%,64%,65%,28%,25%,88%,76%,70%,44%,57%,62%,58%,60%,58%,64%,68%,45%,61%,69%,55%,53%,58%,38%,76%,70%,62%,55%,50%,34%,37%,69%,78%,51%,58%,79%,53%,67%,84%,61%,54%,60%,28%,30%,27%,27%,32%,31%,27%,25%,19%,16%,32%,19%,23%,45%,34%,35%,31%,29%,23%,32%,55%,46%,45%,19%,19%
Justice,Office of the Public Guardian,50%,58%,82%,63%,75%,36%,74%,74%,27%,33%,72%,51%,59%,45%,61%,84%,78%,84%,62%,74%,73%,56%,65%,72%,60%,60%,60%,42%,81%,78%,65%,50%,39%,24%,30%,72%,85%,59%,78%,83%,62%,74%,85%,72%,67%,78%,28%,29%,23%,29%,47%,35%,32%,29%,23%,22%,46%,25%,31%,40%,31%,39%,35%,33%,31%,38%,53%,36%,41%,11%,8%
Justice,Scotland Office and Office of the Advocate General,63%,84%,80%,68%,84%,60%,83%,79%,54%,53%,97%,87%,88%,66%,84%,82%,70%,88%,69%,80%,86%,65%,75%,70%,60%,57%,69%,48%,88%,85%,80%,70%,61%,48%,59%,92%,90%,67%,83%,79%,77%,78%,96%,88%,67%,72%,56%,57%,47%,51%,69%,62%,37%,58%,45%,36%,64%,45%,61%,66%,60%,42%,52%,48%,51%,63%,97%,66%,81%,3%,8%
Justice,Tribunal Service,53%,61%,82%,55%,69%,40%,68%,71%,23%,33%,81%,62%,62%,42%,59%,86%,78%,84%,52%,65%,64%,52%,58%,66%,50%,50%,53%,35%,76%,71%,60%,56%,38%,35%,32%,71%,78%,52%,71%,83%,62%,72%,88%,69%,56%,69%,21%,29%,20%,34%,38%,33%,30%,28%,27%,22%,50%,29%,35%,42%,35%,31%,34%,32%,36%,41%,64%,47%,53%,13%,14%
Justice,Wales Office,59%,76%,78%,76%,86%,54%,78%,80%,50%,50%,89%,78%,71%,67%,73%,78%,75%,82%,75%,82%,84%,67%,89%,87%,75%,73%,78%,46%,88%,83%,85%,76%,41%,54%,41%,82%,82%,73%,74%,87%,80%,80%,93%,84%,64%,73%,59%,51%,41%,49%,64%,55%,46%,57%,40%,32%,53%,45%,51%,49%,44%,47%,40%,45%,48%,60%,93%,69%,77%,11%,18%
Scottish Government,Scottish Government,59%,78%,80%,68%,80%,60%,81%,76%,42%,41%,92%,80%,76%,64%,80%,83%,79%,80%,66%,81%,83%,59%,76%,80%,63%,61%,70%,39%,85%,81%,75%,72%,58%,56%,55%,87%,89%,68%,80%,82%,69%,74%,89%,80%,64%,72%,44%,48%,34%,44%,49%,48%,33%,44%,29%,25%,62%,35%,41%,56%,55%,43%,41%,38%,41%,50%,82%,43%,62%,6%,9%
Scottish Government,Accountant in Bankruptcy,68%,77%,88%,69%,86%,64%,82%,77%,29%,63%,96%,77%,75%,61%,75%,90%,87%,86%,70%,85%,81%,65%,80%,78%,61%,61%,66%,40%,85%,86%,87%,73%,69%,60%,52%,85%,89%,70%,85%,83%,74%,70%,88%,74%,72%,80%,27%,40%,20%,71%,80%,65%,64%,62%,60%,54%,74%,46%,56%,65%,66%,56%,63%,63%,55%,56%,77%,51%,72%,6%,6%
Scottish Government,Crown Office and Procurator Fiscal Service,63%,78%,90%,62%,73%,57%,74%,75%,35%,40%,95%,83%,83%,57%,71%,93%,88%,87%,61%,72%,74%,58%,69%,73%,56%,57%,62%,36%,81%,74%,64%,74%,56%,51%,46%,81%,83%,61%,73%,88%,67%,77%,92%,76%,59%,68%,35%,41%,30%,46%,42%,44%,41%,40%,35%,34%,53%,29%,31%,65%,53%,57%,51%,44%,37%,45%,59%,37%,49%,11%,13%
Scottish Government,Disclosure Scotland,52%,52%,92%,60%,66%,33%,65%,72%,31%,33%,78%,51%,57%,40%,35%,94%,88%,92%,58%,64%,60%,54%,59%,66%,71%,66%,55%,50%,85%,62%,50%,42%,30%,29%,29%,75%,77%,42%,64%,82%,64%,77%,83%,75%,62%,60%,32%,29%,31%,34%,47%,32%,29%,25%,25%,28%,42%,31%,34%,41%,30%,33%,46%,39%,32%,34%,61%,39%,47%,13%,12%
Scottish Government,General Register Office for Scotland,63%,77%,87%,67%,82%,53%,80%,81%,35%,53%,89%,72%,77%,66%,82%,92%,80%,87%,57%,78%,80%,61%,77%,80%,63%,55%,74%,46%,87%,85%,75%,73%,52%,41%,46%,86%,88%,67%,78%,89%,77%,82%,89%,78%,76%,74%,38%,39%,27%,66%,64%,57%,43%,56%,42%,36%,68%,46%,51%,60%,67%,54%,49%,42%,54%,52%,76%,43%,66%,7%,5%
Scottish Government,Historic Scotland,65%,75%,85%,71%,77%,54%,75%,77%,42%,36%,94%,74%,79%,54%,71%,87%,82%,86%,68%,81%,79%,67%,75%,82%,70%,63%,74%,49%,83%,79%,69%,63%,58%,43%,50%,83%,83%,67%,67%,85%,67%,77%,93%,75%,71%,74%,41%,50%,34%,44%,29%,39%,34%,34%,29%,29%,56%,30%,36%,69%,61%,55%,50%,46%,32%,41%,66%,39%,58%,8%,9%
Scottish Government,HM Inspectorate of Education,70%,81%,95%,76%,88%,65%,82%,79%,43%,56%,96%,89%,88%,61%,74%,97%,95%,95%,80%,78%,85%,80%,84%,84%,70%,70%,73%,51%,91%,92%,81%,82%,63%,57%,57%,86%,92%,75%,78%,86%,77%,89%,97%,84%,62%,59%,45%,46%,37%,65%,60%,64%,59%,60%,43%,57%,66%,39%,43%,73%,60%,54%,65%,65%,61%,65%,72%,55%,77%,10%,9%
Scottish Government,National Archives of Scotland,57%,75%,72%,62%,76%,38%,71%,75%,41%,26%,93%,72%,78%,51%,80%,72%,69%,75%,56%,82%,74%,51%,62%,76%,63%,57%,63%,34%,83%,79%,67%,50%,44%,19%,40%,76%,85%,53%,69%,86%,64%,76%,85%,71%,63%,81%,33%,50%,39%,21%,42%,25%,22%,19%,13%,15%,38%,35%,28%,56%,29%,53%,33%,31%,25%,31%,69%,35%,52%,14%,8%
Scottish Government,Office of the Scottish Charity Regulator,65%,78%,96%,77%,83%,55%,81%,80%,54%,64%,87%,82%,71%,71%,79%,97%,95%,97%,74%,89%,82%,76%,79%,76%,87%,74%,68%,65%,92%,82%,76%,61%,61%,45%,53%,92%,92%,66%,73%,87%,79%,84%,87%,82%,63%,76%,58%,58%,45%,79%,84%,71%,37%,66%,61%,58%,74%,53%,57%,65%,68%,49%,41%,46%,53%,50%,76%,47%,66%,5%,5%
Scottish Government,Registers of Scotland,46%,53%,80%,37%,56%,37%,58%,67%,39%,21%,73%,58%,54%,26%,52%,83%,75%,81%,29%,55%,47%,30%,47%,44%,27%,30%,36%,20%,75%,56%,37%,47%,42%,29%,29%,68%,77%,33%,56%,76%,53%,50%,80%,68%,67%,74%,38%,42%,37%,24%,13%,15%,37%,19%,17%,17%,37%,12%,18%,26%,29%,27%,19%,16%,18%,22%,92%,57%,50%,12%,11%
Scottish Government,Scottish Housing Regulator,58%,69%,85%,66%,69%,51%,83%,73%,57%,51%,94%,65%,69%,48%,69%,90%,79%,87%,65%,83%,81%,63%,81%,80%,59%,57%,76%,24%,81%,65%,62%,69%,63%,27%,44%,96%,90%,62%,83%,75%,58%,63%,94%,83%,62%,73%,57%,61%,53%,48%,65%,65%,48%,60%,41%,41%,61%,39%,44%,46%,46%,48%,48%,46%,38%,52%,79%,48%,69%,2%,10%
Scottish Government,Scottish Public Pensions Agency,56%,71%,87%,65%,73%,51%,72%,75%,35%,45%,88%,72%,70%,55%,68%,90%,85%,86%,63%,80%,78%,66%,69%,77%,56%,61%,63%,37%,78%,75%,66%,62%,50%,47%,45%,78%,80%,54%,77%,85%,56%,77%,83%,71%,71%,81%,30%,44%,29%,46%,51%,47%,49%,43%,38%,31%,62%,38%,40%,44%,54%,35%,38%,38%,34%,38%,75%,45%,60%,8%,9%
Scottish Government,Social Work Inspection Authority,71%,87%,96%,79%,95%,62%,88%,83%,61%,65%,98%,86%,89%,77%,86%,100%,91%,98%,80%,86%,93%,82%,77%,93%,84%,75%,82%,35%,100%,95%,91%,86%,80%,23%,59%,93%,95%,82%,82%,82%,80%,77%,95%,89%,75%,84%,66%,70%,48%,70%,89%,81%,45%,77%,47%,49%,73%,53%,63%,84%,58%,59%,73%,80%,75%,75%,86%,60%,85%,0%,2%
Scottish Government,Student Awards Agency for Scotland,53%,66%,90%,60%,72%,51%,75%,74%,33%,39%,85%,73%,67%,49%,56%,96%,88%,85%,59%,75%,69%,56%,68%,69%,49%,55%,61%,35%,78%,74%,66%,66%,45%,48%,41%,84%,83%,58%,75%,82%,62%,74%,86%,72%,65%,78%,33%,35%,31%,38%,34%,34%,32%,34%,36%,37%,59%,42%,40%,30%,35%,33%,35%,32%,35%,40%,57%,42%,56%,4%,1%
Scottish Government,Transport Scotland,63%,79%,89%,68%,83%,61%,80%,77%,41%,57%,92%,80%,76%,63%,84%,90%,89%,89%,67%,79%,85%,63%,76%,78%,60%,61%,69%,44%,86%,84%,79%,78%,66%,47%,55%,87%,86%,70%,76%,81%,67%,74%,92%,81%,65%,76%,42%,47%,34%,65%,67%,65%,58%,63%,46%,39%,68%,47%,49%,62%,62%,47%,49%,51%,50%,54%,73%,39%,68%,5%,9%
Transport,Department for Transport,57%,77%,81%,66%,79%,58%,78%,74%,38%,43%,90%,79%,76%,63%,78%,84%,79%,81%,65%,81%,81%,58%,74%,80%,60%,60%,65%,38%,84%,79%,73%,72%,59%,51%,52%,81%,87%,68%,75%,82%,67%,75%,88%,74%,63%,68%,40%,38%,35%,49%,53%,47%,40%,42%,25%,22%,65%,40%,48%,49%,48%,40%,38%,37%,51%,57%,86%,46%,63%,9%,8%
Transport,Driver and Vehicle Licensing Agency,51%,58%,80%,61%,70%,42%,68%,71%,29%,31%,77%,62%,59%,40%,49%,83%,77%,80%,57%,70%,69%,57%,63%,72%,61%,58%,57%,41%,78%,70%,63%,59%,42%,34%,33%,73%,82%,50%,65%,83%,60%,68%,87%,70%,60%,67%,27%,36%,23%,37%,34%,29%,36%,26%,29%,24%,44%,23%,32%,36%,42%,33%,31%,29%,24%,31%,60%,40%,49%,13%,11%
Transport,Driving Standards Agency,52%,59%,74%,63%,68%,45%,66%,70%,22%,25%,87%,67%,68%,34%,38%,77%,71%,76%,59%,69%,69%,54%,66%,73%,66%,59%,61%,49%,76%,69%,59%,53%,41%,45%,39%,72%,82%,47%,64%,84%,51%,71%,87%,68%,58%,68%,19%,28%,20%,23%,26%,24%,27%,20%,22%,20%,44%,19%,21%,44%,41%,36%,31%,28%,17%,30%,56%,38%,41%,20%,22%
Transport,Government Car and Despatch Agency,53%,61%,51%,39%,45%,35%,55%,57%,28%,26%,89%,61%,74%,33%,47%,52%,46%,56%,41%,41%,41%,37%,41%,47%,32%,37%,46%,26%,49%,48%,39%,37%,41%,29%,34%,61%,63%,48%,48%,67%,35%,49%,85%,57%,54%,48%,29%,25%,29%,21%,34%,19%,25%,24%,23%,23%,40%,24%,31%,58%,38%,53%,38%,34%,26%,28%,74%,59%,40%,20%,20%
Transport,Highways Agency,56%,69%,80%,60%,74%,45%,70%,65%,32%,30%,90%,70%,74%,48%,64%,82%,79%,78%,58%,71%,72%,56%,66%,72%,57%,52%,57%,36%,81%,76%,64%,52%,48%,38%,40%,74%,82%,58%,64%,77%,49%,68%,83%,55%,59%,64%,32%,40%,25%,34%,31%,31%,33%,28%,18%,18%,49%,23%,36%,55%,48%,40%,36%,32%,27%,42%,80%,48%,52%,16%,17%
Transport,Maritime and Coastguard Agency,55%,72%,68%,65%,76%,48%,68%,68%,20%,21%,92%,77%,79%,50%,63%,70%,63%,70%,62%,78%,78%,55%,70%,77%,63%,59%,65%,43%,83%,79%,67%,57%,52%,37%,47%,79%,84%,52%,56%,81%,57%,73%,86%,58%,58%,64%,19%,25%,15%,22%,20%,20%,18%,18%,14%,13%,35%,20%,29%,63%,40%,48%,37%,28%,17%,31%,65%,42%,43%,13%,12%
Transport,Office of Rail Regulation,51%,77%,72%,67%,79%,45%,69%,70%,56%,34%,91%,79%,79%,53%,84%,75%,68%,74%,67%,80%,86%,60%,77%,80%,64%,56%,65%,31%,84%,79%,75%,61%,52%,30%,37%,74%,85%,65%,53%,76%,56%,72%,86%,66%,65%,70%,56%,60%,52%,34%,45%,30%,37%,35%,22%,27%,46%,34%,29%,36%,41%,30%,33%,33%,33%,50%,84%,47%,56%,13%,9%
Transport,Vehicle Certification Agency,67%,79%,87%,68%,81%,53%,82%,79%,61%,61%,89%,79%,77%,66%,83%,88%,82%,91%,61%,80%,78%,71%,75%,77%,62%,62%,69%,46%,83%,82%,78%,71%,46%,43%,49%,85%,88%,74%,82%,87%,70%,81%,94%,78%,69%,75%,59%,66%,57%,77%,71%,58%,65%,69%,44%,52%,68%,48%,55%,68%,76%,57%,62%,57%,56%,54%,69%,47%,63%,12%,12%
Transport,Vehicle Operator Services Agency,47%,61%,61%,51%,63%,37%,58%,57%,24%,14%,88%,72%,66%,30%,48%,65%,55%,64%,50%,70%,64%,46%,54%,64%,45%,41%,45%,28%,74%,64%,50%,44%,39%,27%,37%,69%,78%,40%,45%,73%,41%,55%,77%,49%,45%,60%,22%,29%,21%,10%,14%,12%,15%,9%,10%,8%,30%,12%,18%,39%,24%,33%,24%,19%,14%,31%,69%,38%,38%,16%,20%
