Department_group,Organisation,Organisation_Code,Response_rate,Employee engagement index,My work,Organisational objectives and purpose,My manager,My team,Learning and development,Inclusion and fair treatment,Resources and workload,Pay and benefits,Leadership and managing change,B01. I am interested in my work,B02. I am sufficiently challenged by my work,B03. My work gives me a sense of personal accomplishment,B04. I feel involved in the decisions that affect my work,B05. I have a choice in deciding how I do my work,B06. I have a clear understanding of [my organisation's] purpose,B07. I have a clear understanding of [my organisation's] objectives,B08. I understand how my work contributes to [my organisation's] objectives,B09. My manager motivates me to be more effective in my job,B10. My manager is considerate of my life outside work,B11. My manager is open to my ideas,B12. My manager helps me to understand how I contribute to [my organisation's] objectives,"B13. Overall, I have confidence in the decisions made by my manager",B14. My manager recognises when I have done my job well,B15. I receive regular feedback on my performance,B16. The feedback I receive helps me to improve my performance,B17. I think that my performance is evaluated fairly,B18. Poor performance is dealt with effectively in my team,B19. The people in my team can be relied upon to help when things get difficult in my job,B20. The people in my team work together to find ways to improve the service we provide,B21. The people in my team are encouraged to come up with new and better ways of doing things,B22. I am able to access the right learning and development opportunities when I need to,B23. Learning and development activities I have completed in the past 12 months have helped to improve my performance,B24. There are opportunities for me to develop my career in [my organisation],B25. Learning and development activities I have completed while working for [my organisation] are helping me to develop my career,B26. I am treated fairly at work,B27. I am treated with respect by the people I work with,B28. I feel valued for the work I do,"B29. I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc)","B30. In my job, I am clear what is expected of me",B31. I get the information I need to do my job well,B32. I have clear work objectives,B33. I have the skills I need to do my job effectively,B34. I have the tools I need to do my job effectively,B35. I have an acceptable workload,B36. I achieve a good balance between my work life and my private life,B37. I feel that my pay adequately reflects my performance,B38. I am satisfied with the total benefits package,B39. Compared to people doing a similar job in other organisations I feel my pay is reasonable,B40. I feel that [my organisation] as a whole is managed well,B41. [Senior managers] in [my organisation] are sufficiently visible,B42. I believe the actions of [senior managers] are consistent with [my organisation's] values,B43. I believe that [the board has] a clear vision for the future of [my organisation],"B44. Overall, I have confidence in the decisions made by [my organisation's senior managers]",B45. I feel that change is managed well in [my organisation],B46. When changes are made in [my organisation] they are usually for the better,B47. [My organisation] keeps me informed about matters that affect me,B48. I have the opportunity to contribute my views before decisions are made that affect me,B49. I think it is safe to challenge the way things are done in [my organisation],B50. I am proud when I tell others I am part of [my organisation],B51. I would recommend [my organisation] as a great place to work,B52. I feel a strong personal attachment to [my organisation],B53. [My organisation] inspires me to do the best in my job,B54. [My organisation] motivates me to help it achieve its objectives,B55. I believe that [senior managers] in [my organisation] will take action on the results from this survey,B56. I believe that managers where I work will take action on the results from this survey,"B57. Where I work, I think effective action has been taken on the results of the last survey",B58. I am trusted to carry out my job effectively,"B59. I believe I would be supported if I try a new idea, even if it may not work","B60. When I talk about [my organisation] I say ""we"" rather than ""they""",B61. I have some really good friendships at work,B62. [Senior managers] in [my organisation] actively role model the behaviours set out in the Civil Service Leadership Statement,B63. My manager actively role models the behaviours set out in the Civil Service Leadership Statement,D01. Are you aware of the Civil Service Code?,D02. Are you aware of how to raise a concern under the Civil Service Code?,D03. Are you confident that if you raise a concern under the Civil Service Code in [your organisation] it would be investigated properly?,E01. During the past 12 months have you personally experienced discrimination at work?,E03. During the past 12 months have you personally experienced bullying or harassment at work?,E05. Did you report the bullying and harassment you experienced?,"E06. In your opinion, has this issue been resolved?","W01. Overall, how satisfied are you with your life nowadays? (0=Not at all satisfied, 10=Completely satisfied)","W02. Overall, to what extent do you feel the things you do in your life are worthwhile? (0=Not at all worthwhile, 10=Completely worthwhile)","W03. Overall, how happy did you feel yesterday? (0=Not at all happy, 10=Completely happy)","W04. Overall, how anxious did you feel yesterday? (0=Not at all anxious, 10= Completely anxious)"
"Environment, Food & Rural Affairs",Veterinary Medicines Directorate,VMD,92%,67%,82%,94%,70%,88%,62%,81%,84%,34%,57%,92%,84%,83%,69%,83%,96%,91%,94%,72%,84%,83%,70%,76%,84%,66%,62%,65%,43%,89%,91%,83%,87%,65%,43%,51%,87%,89%,70%,77%,93%,84%,89%,93%,82%,70%,77%,35%,35%,31%,70%,59%,59%,60%,62%,43%,49%,69%,44%,54%,63%,64%,57%,59%,57%,54%,61%,36%,94%,78%,84%,79%,51%,61%,92%,65%,75%,6%,11%,40%,40%,72%,77%,64%,53%
Food Standards Agency,Food Standards Agency,FSA,89%,58%,70%,79%,63%,77%,53%,69%,73%,28%,42%,88%,77%,72%,52%,63%,81%,77%,79%,65%,74%,75%,61%,67%,73%,64%,58%,58%,36%,79%,78%,73%,68%,53%,45%,46%,72%,80%,59%,67%,82%,69%,75%,91%,72%,59%,61%,26%,32%,25%,43%,55%,51%,55%,43%,25%,25%,50%,38%,34%,59%,42%,45%,43%,42%,51%,59%,43%,87%,63%,66%,78%,49%,61%,95%,77%,66%,17%,18%,39%,21%,64%,71%,61%,49%
Foreign & Commonwealth Office,Foreign & Commonwealth Office,FCO,84%,71%,80%,83%,72%,82%,60%,79%,78%,28%,59%,93%,82%,82%,66%,75%,83%,81%,84%,75%,77%,81%,69%,74%,81%,70%,73%,68%,54%,84%,83%,79%,66%,65%,51%,59%,79%,86%,75%,77%,86%,77%,83%,91%,70%,66%,70%,29%,30%,24%,66%,73%,70%,54%,61%,51%,43%,66%,50%,53%,81%,66%,68%,66%,63%,60%,63%,49%,90%,71%,79%,81%,63%,65%,72%,56%,63%,15%,13%,41%,20%,66%,73%,67%,47%
Foreign & Commonwealth Office,FCO Services,FCOS,73%,57%,74%,67%,62%,79%,45%,74%,67%,21%,36%,91%,77%,77%,51%,75%,69%,61%,70%,63%,79%,76%,58%,66%,72%,56%,54%,58%,36%,85%,80%,72%,54%,45%,41%,41%,79%,84%,61%,71%,80%,60%,65%,87%,58%,57%,65%,23%,22%,16%,38%,47%,38%,39%,36%,22%,23%,51%,30%,36%,55%,46%,48%,41%,36%,33%,51%,29%,89%,65%,69%,77%,34%,54%,82%,63%,59%,14%,13%,32%,24%,67%,73%,68%,56%
Foreign & Commonwealth Office,Wilton Park,WPEA,88%,74%,76%,89%,74%,80%,42%,81%,79%,35%,61%,91%,83%,76%,61%,68%,91%,86%,91%,74%,86%,83%,70%,74%,80%,74%,75%,71%,48%,78%,79%,82%,65%,44%,30%,30%,85%,82%,73%,85%,92%,74%,82%,94%,79%,58%,71%,32%,39%,33%,70%,67%,74%,70%,71%,41%,47%,68%,48%,52%,79%,65%,70%,67%,67%,74%,77%,61%,92%,82%,83%,83%,71%,77%,100%,82%,86%,11%,12%,.,.,73%,78%,75%,59%
Government Actuary's Department,Government Actuary's Department,GAD,86%,65%,80%,81%,70%,87%,51%,83%,81%,39%,54%,89%,81%,77%,73%,80%,86%,78%,78%,76%,82%,82%,66%,82%,81%,69%,65%,65%,32%,86%,86%,89%,52%,47%,53%,53%,85%,88%,75%,82%,86%,76%,80%,94%,81%,74%,79%,42%,43%,33%,62%,63%,59%,60%,55%,29%,43%,60%,52%,56%,66%,67%,60%,54%,50%,52%,55%,30%,90%,70%,82%,62%,49%,63%,95%,62%,81%,7%,6%,.,.,75%,69%,72%,53%
Government Legal Department,Government Legal Department,GLD,77%,62%,79%,82%,71%,82%,61%,79%,77%,19%,49%,91%,85%,81%,58%,79%,87%,80%,80%,73%,87%,84%,64%,79%,80%,67%,66%,66%,39%,88%,83%,74%,74%,66%,53%,53%,81%,87%,69%,80%,88%,75%,81%,91%,71%,65%,69%,20%,21%,15%,57%,64%,56%,46%,52%,42%,34%,63%,37%,41%,66%,59%,46%,48%,44%,58%,69%,48%,90%,70%,72%,77%,50%,67%,95%,75%,78%,9%,10%,26%,21%,66%,71%,62%,45%
Health,Department of Health,DH,67%,45%,69%,61%,65%,77%,43%,66%,67%,29%,27%,84%,71%,67%,49%,75%,62%,57%,64%,66%,82%,81%,56%,72%,78%,64%,58%,63%,32%,82%,80%,71%,53%,47%,34%,39%,71%,81%,58%,55%,75%,63%,67%,86%,65%,56%,60%,31%,30%,25%,23%,43%,32%,22%,26%,13%,13%,45%,28%,27%,41%,24%,37%,25%,23%,27%,50%,23%,84%,64%,61%,74%,28%,61%,97%,70%,57%,13%,11%,30%,14%,57%,64%,55%,41%
Health,Medicines and Healthcare Products Regulatory Agency,MHRA,75%,64%,78%,88%,69%,81%,51%,76%,76%,31%,54%,90%,81%,80%,62%,77%,92%,84%,88%,68%,80%,82%,66%,76%,79%,66%,63%,68%,43%,84%,82%,76%,66%,52%,40%,44%,79%,84%,67%,75%,87%,77%,81%,92%,76%,57%,65%,32%,32%,27%,61%,60%,55%,51%,55%,46%,41%,66%,52%,49%,72%,62%,53%,52%,50%,52%,55%,40%,92%,69%,75%,77%,49%,64%,91%,65%,66%,10%,9%,38%,16%,69%,76%,67%,51%
Health,Public Health England,PHE,70%,56%,76%,73%,68%,79%,48%,77%,74%,40%,38%,92%,78%,76%,57%,75%,76%,71%,72%,69%,82%,80%,59%,73%,79%,65%,63%,69%,37%,82%,81%,75%,61%,53%,36%,42%,80%,85%,68%,75%,82%,70%,79%,91%,74%,57%,64%,43%,38%,38%,39%,43%,42%,38%,37%,23%,21%,55%,41%,37%,57%,45%,37%,40%,37%,41%,56%,33%,90%,71%,63%,77%,39%,63%,82%,53%,59%,11%,11%,39%,20%,67%,73%,66%,52%
HM Inspectorate of Constabulary,HM Inspectorate of Constabulary,HMIC,68%,62%,74%,90%,62%,80%,43%,70%,63%,48%,38%,96%,83%,81%,43%,68%,93%,87%,90%,62%,81%,78%,60%,69%,73%,58%,56%,51%,30%,83%,84%,72%,47%,47%,37%,40%,73%,83%,63%,63%,74%,59%,73%,90%,49%,47%,51%,53%,50%,42%,27%,42%,40%,45%,30%,17%,18%,70%,49%,41%,78%,47%,58%,49%,49%,53%,53%,25%,86%,68%,83%,76%,38%,55%,89%,60%,56%,22%,20%,25%,19%,71%,76%,70%,48%
HM Revenue & Customs,HM Revenue & Customs,HMRC,69%,47%,65%,80%,67%,83%,53%,71%,68%,24%,34%,82%,77%,67%,44%,56%,81%,78%,81%,67%,78%,77%,65%,69%,77%,71%,61%,60%,43%,87%,85%,78%,62%,51%,56%,42%,75%,86%,54%,69%,82%,59%,73%,78%,59%,60%,67%,24%,26%,22%,32%,46%,39%,37%,30%,25%,24%,50%,26%,35%,36%,34%,36%,33%,32%,38%,52%,34%,84%,62%,57%,82%,37%,63%,93%,70%,62%,15%,12%,34%,21%,61%,67%,58%,48%
HM Revenue & Customs,Valuation Office Agency,VOA,62%,50%,70%,80%,70%,78%,51%,73%,68%,25%,36%,84%,80%,70%,49%,69%,81%,76%,82%,68%,83%,78%,69%,72%,78%,79%,64%,69%,41%,86%,81%,67%,59%,56%,44%,43%,76%,85%,60%,69%,84%,60%,78%,84%,52%,54%,68%,25%,29%,20%,33%,49%,38%,42%,30%,25%,24%,52%,33%,37%,35%,32%,42%,34%,33%,36%,51%,31%,86%,61%,62%,77%,36%,65%,94%,74%,68%,11%,8%,33%,23%,61%,67%,60%,49%
HM Treasury and Chancellor's other departments,HM Treasury,HMT,93%,74%,83%,89%,73%,85%,63%,81%,77%,24%,65%,94%,86%,82%,70%,83%,93%,86%,88%,76%,87%,88%,70%,81%,84%,66%,69%,68%,43%,86%,86%,83%,68%,61%,65%,57%,86%,90%,75%,73%,85%,79%,79%,88%,83%,62%,65%,27%,29%,17%,74%,78%,73%,53%,72%,61%,53%,75%,46%,64%,88%,79%,65%,70%,67%,66%,67%,47%,90%,79%,84%,73%,67%,72%,97%,63%,81%,9%,8%,38%,28%,70%,73%,64%,46%
HM Treasury and Chancellor's other departments,UK Debt Management Office,DMO,65%,64%,77%,89%,62%,76%,56%,74%,78%,36%,57%,91%,75%,77%,64%,78%,94%,88%,86%,60%,80%,72%,58%,64%,68%,58%,55%,65%,35%,86%,83%,59%,72%,57%,35%,56%,76%,84%,63%,71%,82%,71%,71%,92%,83%,74%,73%,43%,37%,27%,58%,72%,66%,60%,62%,43%,48%,67%,48%,46%,68%,53%,52%,50%,48%,27%,33%,20%,84%,58%,81%,71%,48%,49%,89%,79%,77%,11%,13%,.,.,70%,63%,63%,54%
HM Treasury and Chancellor's other departments,Government Internal Audit Agency,GIAA,80%,48%,72%,75%,65%,68%,37%,67%,68%,29%,35%,89%,81%,72%,50%,70%,81%,72%,73%,67%,83%,79%,57%,67%,75%,67%,57%,61%,38%,75%,68%,61%,53%,42%,31%,24%,73%,79%,59%,57%,80%,63%,72%,82%,60%,58%,64%,32%,30%,24%,33%,43%,35%,40%,32%,29%,21%,51%,30%,34%,42%,27%,19%,22%,24%,47%,59%,31%,81%,63%,54%,69%,39%,63%,98%,84%,76%,17%,11%,34%,12%,66%,70%,61%,48%
Home Office,Home Office group,HOMEOFFICEGROUP,53%,53%,67%,81%,61%,74%,42%,68%,67%,28%,36%,85%,73%,67%,49%,59%,83%,78%,81%,62%,73%,73%,58%,66%,72%,59%,55%,52%,35%,80%,76%,67%,52%,42%,40%,35%,69%,79%,55%,67%,80%,61%,69%,82%,57%,55%,61%,30%,27%,26%,36%,47%,39%,38%,34%,27%,24%,47%,30%,35%,48%,39%,40%,38%,35%,37%,47%,33%,82%,59%,63%,77%,35%,55%,87%,63%,57%,19%,16%,38%,18%,61%,67%,60%,48%
Home Office,Home Office: Policy and Enablers (formerly known as Home Office HQ),PE,62%,58%,76%,83%,66%,79%,50%,75%,69%,35%,38%,89%,79%,75%,61%,76%,86%,80%,83%,68%,81%,81%,61%,73%,78%,61%,59%,58%,37%,82%,81%,75%,57%,48%,50%,46%,77%,83%,66%,75%,78%,65%,68%,86%,60%,59%,66%,38%,35%,32%,40%,51%,43%,32%,38%,24%,23%,51%,37%,40%,58%,47%,44%,42%,40%,44%,58%,38%,86%,69%,69%,72%,37%,61%,88%,62%,63%,14%,13%,33%,19%,65%,71%,64%,50%
Home Office,Home Office: Border Force,BF,35%,41%,57%,71%,53%,63%,33%,55%,52%,21%,22%,82%,67%,59%,35%,41%,72%,69%,70%,53%,63%,64%,47%,57%,67%,55%,46%,45%,28%,75%,64%,51%,42%,34%,31%,25%,58%,70%,42%,50%,70%,46%,58%,70%,38%,41%,40%,23%,18%,21%,19%,31%,24%,24%,20%,14%,12%,35%,19%,22%,33%,21%,31%,25%,22%,22%,32%,21%,68%,45%,51%,77%,22%,46%,89%,64%,44%,26%,22%,33%,11%,52%,60%,54%,46%
Home Office,Home Office: Immigration Enforcement,IE,50%,52%,66%,82%,57%,73%,39%,65%,63%,25%,33%,86%,73%,64%,46%,59%,84%,80%,83%,56%,72%,71%,56%,60%,70%,54%,49%,48%,32%,79%,74%,64%,51%,41%,33%,31%,67%,77%,51%,64%,77%,56%,64%,81%,52%,52%,57%,27%,24%,24%,34%,45%,38%,37%,33%,23%,21%,43%,26%,33%,45%,34%,38%,36%,34%,34%,41%,28%,82%,57%,66%,75%,34%,52%,89%,66%,53%,22%,18%,42%,16%,61%,68%,62%,49%
Home Office,Home Office: UK Visas and Immigration,UKVI,64%,55%,65%,82%,61%,74%,41%,69%,71%,29%,40%,83%,71%,65%,49%,55%,83%,78%,84%,62%,72%,71%,59%,66%,71%,60%,57%,53%,38%,80%,74%,68%,51%,39%,39%,32%,71%,80%,56%,71%,85%,65%,75%,84%,61%,56%,67%,30%,29%,27%,41%,53%,44%,44%,39%,33%,30%,50%,31%,38%,48%,43%,40%,40%,38%,40%,48%,35%,86%,57%,65%,78%,40%,56%,84%,62%,59%,17%,13%,43%,23%,62%,67%,60%,47%
Home Office,HM Passport Office,HMPO,58%,56%,66%,84%,64%,81%,45%,69%,76%,26%,40%,87%,72%,71%,46%,56%,85%,83%,84%,64%,74%,75%,67%,68%,75%,66%,60%,54%,38%,85%,83%,75%,58%,48%,39%,36%,71%,81%,55%,70%,87%,69%,78%,86%,72%,66%,72%,27%,27%,25%,43%,48%,40%,50%,36%,37%,31%,50%,31%,37%,53%,43%,44%,42%,40%,39%,49%,37%,87%,62%,62%,83%,38%,60%,86%,65%,59%,18%,16%,43%,21%,62%,69%,61%,51%
Justice,Ministry of Justice (including agencies),MOJGROUP,46%,54%,71%,78%,63%,77%,44%,71%,69%,24%,35%,88%,80%,73%,49%,63%,80%,76%,79%,65%,74%,75%,61%,67%,72%,61%,58%,59%,39%,83%,79%,71%,54%,45%,40%,38%,74%,82%,59%,69%,84%,64%,75%,87%,61%,54%,63%,23%,27%,21%,35%,45%,43%,36%,34%,26%,23%,45%,29%,34%,52%,35%,46%,39%,36%,34%,48%,32%,87%,64%,59%,80%,39%,57%,85%,68%,60%,14%,13%,39%,21%,64%,70%,62%,50%
Justice,Ministry of Justice (HQ),MOJHQ,79%,61%,78%,83%,70%,83%,51%,80%,73%,32%,44%,91%,81%,78%,60%,81%,86%,79%,83%,73%,86%,84%,65%,78%,80%,66%,65%,64%,42%,87%,85%,78%,60%,50%,50%,44%,83%,88%,72%,78%,83%,67%,73%,89%,68%,60%,69%,34%,35%,27%,47%,60%,51%,39%,43%,32%,30%,56%,37%,43%,65%,54%,46%,47%,44%,51%,64%,41%,90%,74%,74%,76%,48%,66%,94%,72%,72%,10%,9%,37%,27%,68%,73%,65%,48%
Justice,Criminal Injuries Compensation Authority,CICA,67%,65%,79%,85%,73%,81%,65%,78%,73%,17%,61%,94%,83%,80%,65%,72%,86%,83%,85%,73%,79%,82%,78%,77%,76%,75%,72%,68%,48%,83%,81%,80%,74%,67%,60%,58%,81%,86%,69%,77%,79%,79%,66%,83%,75%,56%,73%,16%,23%,11%,63%,82%,67%,67%,63%,51%,51%,63%,52%,56%,66%,55%,69%,67%,66%,69%,74%,52%,87%,73%,78%,77%,61%,70%,93%,85%,77%,16%,14%,64%,12%,82%,82%,76%,59%
Justice,HM Courts and Tribunals Service,HMCTS,63%,51%,71%,78%,66%,82%,46%,72%,74%,17%,38%,87%,79%,74%,51%,62%,79%,76%,79%,67%,77%,77%,65%,68%,74%,66%,63%,62%,43%,84%,83%,78%,62%,46%,39%,35%,76%,82%,60%,70%,88%,70%,81%,88%,68%,58%,67%,15%,23%,13%,35%,46%,42%,42%,34%,29%,27%,50%,34%,37%,44%,30%,38%,35%,34%,39%,54%,40%,90%,68%,55%,82%,39%,58%,91%,78%,67%,12%,11%,39%,20%,63%,70%,61%,49%
Justice,HM Prison Service,HMPS,29%,52%,67%,71%,54%,69%,39%,63%,63%,23%,27%,85%,78%,68%,45%,57%,73%,69%,72%,57%,63%,66%,50%,58%,64%,49%,47%,50%,32%,77%,70%,61%,45%,39%,37%,36%,66%,76%,50%,61%,78%,56%,66%,83%,57%,47%,54%,23%,23%,22%,26%,35%,36%,27%,26%,20%,16%,34%,21%,26%,53%,30%,47%,36%,32%,22%,36%,23%,82%,55%,52%,79%,30%,47%,78%,65%,51%,18%,16%,33%,17%,62%,68%,61%,52%
Justice,Legal Aid Agency,LAA,83%,68%,79%,92%,76%,89%,62%,85%,81%,44%,65%,89%,82%,79%,68%,80%,94%,90%,92%,75%,88%,86%,77%,80%,81%,75%,71%,72%,52%,90%,89%,88%,74%,60%,61%,53%,86%,91%,74%,90%,91%,76%,85%,89%,74%,72%,81%,38%,56%,37%,69%,78%,68%,71%,65%,58%,53%,71%,52%,62%,66%,69%,61%,60%,60%,72%,78%,66%,94%,79%,79%,88%,66%,75%,93%,75%,77%,8%,8%,47%,22%,71%,75%,68%,53%
Justice,MoJ Arms Length Bodies,ALBS,72%,63%,75%,90%,69%,79%,46%,77%,73%,32%,54%,89%,78%,75%,59%,74%,92%,89%,90%,69%,82%,81%,71%,72%,78%,70%,64%,64%,39%,83%,79%,75%,56%,45%,41%,40%,79%,85%,67%,78%,87%,73%,80%,92%,58%,56%,68%,34%,33%,29%,58%,72%,60%,53%,55%,42%,38%,65%,47%,52%,69%,51%,54%,54%,54%,53%,56%,40%,87%,68%,77%,74%,52%,61%,79%,56%,60%,11%,10%,35%,24%,64%,71%,65%,51%
Justice,National Offender Management Service (HQ),NOMSHQ,49%,58%,78%,84%,70%,84%,49%,78%,73%,46%,41%,91%,81%,78%,59%,79%,85%,82%,84%,72%,85%,82%,66%,77%,80%,68%,64%,67%,38%,87%,86%,79%,54%,48%,47%,48%,82%,86%,70%,76%,82%,68%,76%,88%,64%,61%,71%,48%,48%,41%,50%,49%,52%,43%,45%,27%,23%,53%,32%,39%,59%,43%,50%,41%,40%,42%,56%,34%,90%,73%,66%,78%,46%,69%,93%,73%,71%,11%,11%,43%,22%,69%,75%,66%,54%
Justice,National Probation Service,NPS,50%,55%,70%,82%,64%,75%,38%,71%,65%,24%,26%,93%,85%,78%,38%,58%,84%,79%,82%,65%,76%,75%,64%,69%,74%,62%,59%,60%,35%,84%,78%,64%,42%,42%,33%,36%,75%,86%,57%,64%,83%,56%,74%,90%,45%,47%,57%,25%,23%,25%,27%,40%,42%,20%,28%,16%,9%,36%,19%,23%,56%,32%,53%,38%,33%,23%,39%,17%,88%,59%,59%,82%,36%,56%,75%,46%,50%,14%,12%,49%,28%,64%,74%,63%,48%
Justice,Office of the Public Guardian,OPG,74%,59%,67%,86%,68%,80%,50%,72%,76%,20%,42%,84%,69%,68%,51%,62%,89%,83%,87%,69%,78%,76%,68%,72%,72%,68%,67%,64%,49%,86%,82%,72%,63%,46%,51%,40%,73%,81%,56%,76%,87%,73%,80%,89%,69%,63%,71%,19%,25%,17%,40%,59%,43%,46%,40%,33%,36%,52%,34%,39%,58%,49%,42%,46%,45%,41%,50%,38%,89%,62%,70%,79%,42%,63%,88%,69%,63%,18%,18%,45%,25%,58%,63%,59%,48%
National Crime Agency,National Crime Agency,NCA,75%,56%,69%,79%,62%,77%,38%,71%,65%,19%,30%,89%,71%,72%,47%,65%,82%,80%,76%,61%,82%,76%,57%,67%,74%,56%,52%,58%,34%,83%,80%,69%,41%,42%,35%,35%,75%,83%,58%,69%,76%,58%,65%,79%,48%,58%,68%,21%,19%,19%,30%,36%,37%,31%,30%,15%,18%,43%,27%,33%,62%,37%,44%,41%,37%,38%,48%,30%,84%,64%,68%,77%,31%,57%,91%,67%,62%,16%,12%,35%,18%,66%,73%,66%,58%
National Savings and Investments,National Savings and Investments,NSANDI,89%,69%,82%,93%,75%,82%,66%,83%,80%,34%,65%,92%,84%,81%,71%,84%,96%,93%,91%,76%,91%,85%,73%,81%,82%,76%,73%,70%,45%,85%,83%,79%,87%,69%,49%,60%,85%,86%,78%,85%,88%,74%,86%,94%,68%,72%,83%,35%,41%,26%,79%,75%,70%,66%,70%,40%,54%,73%,55%,68%,75%,70%,67%,63%,66%,66%,69%,54%,91%,79%,84%,82%,73%,73%,86%,68%,77%,11%,13%,33%,38%,72%,80%,71%,59%
Office of Rail and Road,Office of Rail and Road,ORR,78%,61%,83%,86%,73%,84%,57%,80%,78%,28%,54%,94%,81%,84%,66%,91%,88%,84%,86%,74%,91%,86%,73%,82%,82%,70%,66%,67%,37%,89%,85%,79%,72%,71%,30%,54%,82%,89%,72%,78%,86%,77%,78%,93%,70%,69%,73%,31%,27%,26%,62%,71%,64%,47%,60%,35%,33%,69%,49%,52%,53%,60%,42%,45%,43%,50%,58%,30%,94%,78%,82%,71%,48%,66%,91%,67%,73%,7%,8%,45%,15%,73%,78%,70%,59%
Ofgem,Ofgem,OFGEM,88%,61%,74%,81%,70%,85%,54%,80%,74%,31%,45%,89%,76%,73%,55%,79%,86%,77%,82%,73%,87%,85%,65%,79%,80%,64%,65%,63%,40%,87%,85%,82%,61%,55%,49%,51%,84%,88%,67%,81%,80%,69%,73%,91%,74%,61%,71%,30%,38%,26%,48%,66%,53%,35%,47%,28%,29%,52%,39%,48%,61%,65%,44%,47%,45%,56%,65%,39%,87%,71%,78%,72%,45%,64%,84%,52%,65%,7%,7%,52%,11%,67%,70%,62%,49%
Ofqual,Ofqual,OFQUAL,89%,60%,75%,93%,72%,81%,57%,76%,81%,56%,47%,91%,76%,69%,61%,78%,95%,95%,88%,73%,90%,85%,70%,78%,83%,75%,66%,68%,34%,85%,84%,76%,73%,63%,41%,50%,84%,84%,66%,72%,84%,73%,81%,91%,87%,69%,80%,54%,59%,55%,57%,60%,51%,42%,50%,33%,37%,55%,41%,43%,61%,54%,36%,45%,44%,47%,58%,24%,84%,66%,83%,70%,46%,70%,94%,62%,65%,9%,13%,27%,14%,67%,75%,62%,49%
Ofsted,Ofsted,OFSTED,84%,66%,77%,93%,76%,86%,53%,80%,77%,51%,58%,92%,82%,84%,58%,70%,95%,93%,92%,76%,84%,84%,76%,81%,84%,78%,72%,74%,47%,92%,88%,79%,60%,60%,47%,46%,82%,90%,74%,74%,91%,75%,84%,93%,77%,57%,60%,53%,55%,46%,58%,76%,72%,57%,64%,43%,38%,73%,52%,44%,70%,58%,56%,60%,58%,62%,71%,50%,88%,66%,80%,80%,66%,78%,90%,74%,76%,9%,8%,40%,30%,69%,76%,66%,52%
Scottish Government,Scottish Government,SG,73%,62%,77%,82%,71%,81%,55%,80%,75%,40%,43%,91%,80%,75%,59%,78%,84%,79%,82%,71%,87%,83%,62%,77%,82%,70%,65%,73%,39%,86%,82%,75%,64%,52%,55%,48%,84%,85%,70%,82%,82%,70%,73%,89%,74%,62%,73%,42%,44%,34%,48%,53%,51%,41%,47%,29%,26%,58%,37%,43%,61%,61%,48%,47%,44%,45%,54%,35%,90%,72%,68%,78%,41%,57%,93%,66%,72%,9%,10%,43%,16%,67%,72%,65%,53%
Scottish Government,Accountant in Bankruptcy,AIB,85%,59%,70%,85%,73%,86%,57%,76%,79%,38%,53%,86%,65%,65%,59%,74%,90%,83%,82%,70%,88%,84%,73%,75%,84%,79%,67%,72%,38%,89%,84%,85%,78%,55%,45%,48%,78%,83%,63%,82%,88%,66%,78%,93%,73%,72%,87%,37%,46%,32%,59%,72%,59%,48%,56%,41%,43%,57%,48%,50%,49%,56%,39%,45%,43%,57%,59%,41%,89%,71%,74%,76%,48%,62%,98%,83%,77%,14%,10%,33%,17%,65%,62%,57%,54%
Scottish Government,Crown Office and Procurator Fiscal Service,COPFS,49%,58%,74%,84%,64%,74%,42%,71%,73%,23%,33%,92%,80%,78%,52%,67%,88%,82%,83%,63%,81%,75%,59%,71%,72%,59%,56%,64%,37%,83%,76%,65%,59%,43%,33%,35%,77%,81%,57%,70%,86%,69%,75%,92%,70%,56%,67%,23%,27%,19%,37%,35%,42%,32%,36%,23%,20%,42%,30%,31%,58%,40%,57%,42%,39%,36%,43%,26%,87%,61%,64%,82%,34%,51%,91%,67%,58%,14%,15%,35%,18%,69%,73%,64%,48%
Scottish Government,Disclosure Scotland,DS,86%,61%,58%,92%,70%,69%,49%,78%,83%,49%,50%,81%,58%,61%,39%,48%,95%,89%,91%,70%,78%,67%,64%,76%,78%,73%,69%,70%,53%,83%,69%,55%,64%,50%,43%,39%,83%,84%,64%,83%,91%,81%,83%,93%,78%,80%,73%,56%,40%,51%,63%,57%,52%,42%,51%,48%,41%,71%,34%,42%,56%,59%,39%,52%,53%,51%,53%,35%,92%,55%,59%,74%,45%,60%,79%,57%,67%,8%,9%,28%,36%,68%,69%,61%,52%
Scottish Government,Education Scotland,ES,79%,47%,65%,64%,58%,74%,35%,61%,60%,36%,24%,83%,75%,67%,38%,64%,67%,61%,65%,59%,74%,71%,53%,62%,70%,54%,50%,53%,29%,79%,76%,67%,42%,41%,27%,30%,67%,71%,51%,56%,68%,51%,57%,84%,57%,48%,54%,39%,39%,30%,24%,29%,22%,29%,20%,11%,16%,37%,28%,26%,41%,29%,35%,34%,30%,30%,43%,20%,81%,55%,57%,71%,23%,51%,87%,68%,59%,18%,19%,29%,22%,67%,74%,65%,47%
