Department_group,Organisation,Organisation_Code,Response rate,Employee engagement index,My work,Organisational objectives and purpose1,My manager,My team,Learning and development,Inclusion and fair treatment,Resources and workload1,Pay and benefits,Leadership and managing change1,B01. I am interested in my work,B02. I am sufficiently challenged by my work,B03. My work gives me a sense of personal accomplishment,B04. I feel involved in the decisions that affect my work,B05. I have a choice in deciding how I do my work,B06. I have a clear understanding of [my organisation's] objectives,B07. I understand how my work contributes to [my organisation's] objectives,B08. My manager motivates me to be more effective in my job,B09. My manager is considerate of my life outside work,B10. My manager is open to my ideas,B11. My manager helps me to understand how I contribute to [my organisation's] objectives,"B12. Overall, I have confidence in the decisions made by my manager",B13. My manager recognises when I have done my job well,B14. I receive regular feedback on my performance,B15. The feedback I receive helps me to improve my performance,B16. I think that my performance is evaluated fairly,B17. Poor performance is dealt with effectively in my team,B18. The people in my team can be relied upon to help when things get difficult in my job,B19. The people in my team work together to find ways to improve the service we provide,B20. The people in my team are encouraged to come up with new and better ways of doing things,B21. I am able to access the right learning and development opportunities when I need to,B22. Learning and development activities I have completed in the past 12 months have helped to improve my performance,B23. There are opportunities for me to develop my career in [my organisation],B24. Learning and development activities I have completed while working for [my organisation] are helping me to develop my career,B25. I am treated fairly at work,B26. I am treated with respect by the people I work with,B27. I feel valued for the work I do,"B28. I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc)",B29. I get the information I need to do my job well,B30. I have clear work objectives,B31. I have the skills I need to do my job effectively,B32. I have the tools I need to do my job effectively,B33. I have an acceptable workload,B34. I achieve a good balance between my work life and my private life,B35. I feel that my pay adequately reflects my performance,B36. I am satisfied with the total benefits package,B37. Compared to people doing a similar job in other organisations I feel my pay is reasonable,B38. [Senior managers] in [my organisation] are sufficiently visible,B39. I believe the actions of [senior managers] are consistent with [my organisation's] values,B40. I believe that [the board has] a clear vision for the future of [my organisation],"B41. Overall, I have confidence in the decisions made by [my organisation's senior managers]",B42. I feel that change is managed well in [my organisation],B43. When changes are made in [my organisation] they are usually for the better,B44. [My organisation] keeps me informed about matters that affect me,B45. I have the opportunity to contribute my views before decisions are made that affect me,B46. I think it is safe to challenge the way things are done in [my organisation],B47. I am proud when I tell others I am part of [my organisation],B48. I would recommend [my organisation] as a great place to work,B49. I feel a strong personal attachment to [my organisation],B50. [My organisation] inspires me to do the best in my job,B51. [My organisation] motivates me to help it achieve its objectives,B52. I believe that [senior managers] in [my organisation] will take action on the results from this survey,"B53. Where I work, I think effective action has been taken on the results of the last survey",B54. I am trusted to carry out my job effectively,"B55. I believe I would be supported if I try a new idea, even if it may not work","B56. In [my organisation], people are encouraged to speak up when they identify a serious policy or delivery risk",B57. I feel able to challenge inappropriate behaviour in the workplace,B58. My organisation is committed to creating a diverse and inclusive workplace,B59. [Senior managers] in [my organisation] actively role model the behaviours set out in the Civil Service Leadership Statement,B60. My manager actively role models the behaviours set out in the Civil Service Leadership Statement,B61. I am aware of the Civil Service vision for 'A Brilliant Civil Service',B62. I understand how my work contributes to helping us become 'A Brilliant Civil Service',D01. Are you aware of the Civil Service Code?,D02. Are you aware of how to raise a concern under the Civil Service Code?,D03. Are you confident that if you raise a concern under the Civil Service Code in [your organisation] it would be investigated properly?,E01. During the past 12 months have you personally experienced discrimination at work?,E03. During the past 12 months have you personally experienced bullying or harassment at work?,E05. Did you report the bullying and harassment you experienced?,"E06. In your opinion, has this issue been resolved?","W01. Overall, how satisfied are you with your life nowadays? (0=Not at all satisfied, 10=Completely satisfied)","W02. Overall, to what extent do you feel the things you do in your life are worthwhile? (0=Not at all worthwhile, 10=Completely worthwhile)","W03. Overall, how happy did you feel yesterday? (0=Not at all happy, 10=Completely happy)","W04. Overall, how anxious did you feel yesterday? (0=Not at all anxious, 10= Completely anxious)"
Food Standards Agency,Food Standards Agency,FSA,87%,60%,75%,81%,70%,76%,55%,74%,72%,25%,49%,90%,80%,76%,60%,69%,80%,81%,72%,83%,81%,70%,73%,79%,73%,66%,64%,42%,78%,76%,74%,68%,53%,49%,49%,79%,81%,64%,73%,72%,76%,90%,72%,59%,63%,23%,31%,22%,54%,57%,58%,51%,34%,34%,62%,47%,44%,65%,49%,48%,49%,50%,56%,48%,91%,70%,62%,62%,69%,55%,70%,49%,43%,95%,77%,67%,15%,17%,40%,20%,66%,74%,63%,46%
Foreign & Commonwealth Office,Foreign & Commonwealth Office,FCO,86%,70%,80%,84%,73%,83%,60%,79%,77%,30%,58%,93%,82%,82%,66%,75%,82%,85%,75%,79%,82%,70%,76%,81%,71%,73%,69%,55%,85%,84%,80%,66%,63%,51%,59%,80%,85%,74%,78%,76%,83%,92%,71%,66%,71%,31%,33%,26%,74%,70%,54%,61%,50%,44%,65%,50%,54%,80%,66%,68%,65%,63%,60%,49%,90%,71%,71%,67%,74%,63%,68%,41%,43%,72%,58%,63%,16%,13%,43%,20%,66%,72%,66%,47%
Foreign & Commonwealth Office,FCO Services,FCOS,75%,58%,76%,74%,67%,80%,52%,77%,67%,23%,40%,92%,79%,77%,59%,75%,71%,77%,68%,81%,83%,66%,74%,77%,59%,61%,62%,36%,85%,81%,75%,65%,55%,43%,45%,82%,85%,67%,73%,61%,69%,89%,57%,60%,67%,25%,24%,19%,51%,45%,42%,38%,26%,26%,53%,33%,43%,58%,49%,48%,45%,42%,45%,36%,91%,71%,62%,63%,68%,43%,63%,28%,27%,87%,68%,65%,12%,12%,36%,19%,70%,73%,66%,56%
Foreign & Commonwealth Office,Wilton Park,WPEA,100%,77%,84%,86%,73%,84%,55%,74%,77%,39%,51%,95%,90%,90%,70%,74%,85%,87%,77%,79%,82%,71%,77%,79%,78%,65%,71%,51%,85%,88%,79%,72%,62%,35%,53%,70%,81%,69%,74%,76%,81%,92%,81%,62%,68%,35%,47%,35%,54%,59%,55%,54%,37%,42%,56%,49%,51%,90%,78%,77%,66%,69%,56%,60%,92%,82%,77%,68%,74%,64%,76%,44%,45%,97%,81%,82%,14%,10%,n<10,n<10,75%,80%,70%,55%
Government Actuary's Department,Government Actuary's Department,GAD,88%,55%,69%,63%,62%,79%,38%,70%,70%,32%,31%,83%,77%,72%,50%,64%,63%,63%,65%,79%,75%,51%,73%,73%,60%,55%,55%,34%,81%,84%,72%,42%,38%,32%,40%,70%,82%,59%,70%,69%,68%,85%,71%,59%,70%,32%,36%,26%,40%,31%,34%,26%,14%,24%,38%,33%,39%,53%,40%,42%,36%,34%,30%,23%,80%,58%,69%,53%,60%,33%,57%,38%,25%,92%,68%,71%,10%,10%,40%,7%,64%,66%,60%,46%
Government Legal Department,Government Legal Department,GLD,78%,62%,79%,78%,71%,81%,66%,82%,74%,17%,50%,91%,86%,79%,57%,79%,78%,77%,74%,88%,85%,63%,80%,82%,68%,67%,67%,38%,86%,82%,75%,76%,70%,61%,57%,84%,90%,73%,82%,76%,77%,91%,69%,62%,68%,17%,19%,14%,68%,58%,45%,52%,40%,34%,65%,41%,45%,69%,64%,46%,49%,45%,63%,47%,93%,72%,74%,67%,82%,55%,70%,41%,34%,94%,72%,79%,10%,9%,34%,21%,66%,70%,62%,44%
Health,Department of Health,DH,78%,62%,80%,82%,74%,86%,56%,82%,72%,36%,49%,91%,83%,78%,67%,82%,80%,84%,77%,87%,88%,71%,85%,85%,70%,67%,68%,42%,89%,87%,82%,64%,51%,58%,49%,86%,91%,77%,74%,72%,75%,88%,73%,59%,67%,38%,37%,31%,68%,60%,43%,54%,30%,29%,66%,44%,45%,67%,56%,50%,50%,48%,52%,31%,91%,77%,67%,63%,70%,54%,75%,68%,46%,92%,63%,72%,8%,6%,34%,25%,67%,73%,64%,47%
Health,Medicines and Healthcare Products Regulatory Agency,MHRA,75%,64%,79%,84%,71%,80%,52%,78%,73%,30%,50%,90%,82%,80%,64%,79%,81%,86%,71%,83%,83%,65%,76%,79%,68%,64%,71%,45%,85%,81%,75%,67%,51%,44%,44%,81%,85%,70%,77%,76%,78%,92%,75%,55%,64%,33%,33%,24%,61%,56%,50%,53%,40%,38%,63%,42%,50%,72%,62%,53%,56%,51%,52%,40%,90%,72%,64%,59%,72%,52%,69%,37%,36%,93%,68%,68%,9%,11%,25%,16%,68%,75%,67%,47%
Health,Public Health England,PHE,73%,59%,78%,76%,69%,80%,52%,79%,73%,38%,42%,92%,80%,79%,62%,78%,77%,76%,70%,83%,82%,61%,75%,80%,68%,65%,71%,37%,83%,81%,76%,65%,54%,40%,47%,81%,84%,70%,79%,72%,79%,90%,72%,60%,67%,40%,37%,36%,50%,47%,43%,42%,27%,25%,59%,42%,41%,62%,52%,41%,44%,41%,50%,42%,90%,72%,67%,61%,77%,43%,67%,29%,25%,80%,53%,62%,11%,12%,41%,18%,67%,74%,64%,50%
HM Inspectorate of Constabulary and Fire & Rescue Services,HM Inspectorate of Constabulary and Fire & Rescue Services,HMICFR,72%,67%,81%,89%,72%,81%,45%,73%,72%,49%,45%,94%,85%,88%,59%,78%,88%,90%,80%,91%,87%,70%,82%,84%,70%,61%,61%,31%,84%,84%,74%,56%,47%,40%,39%,80%,80%,69%,62%,68%,78%,89%,59%,68%,68%,51%,51%,46%,48%,43%,53%,45%,26%,28%,64%,48%,47%,77%,57%,61%,61%,59%,51%,35%,93%,72%,62%,63%,64%,44%,76%,30%,26%,86%,56%,60%,18%,21%,48%,26%,72%,75%,71%,62%
HM Revenue & Customs,HM Revenue & Customs,HMRC,67%,50%,68%,82%,70%,84%,55%,74%,68%,22%,39%,84%,78%,69%,48%,60%,80%,83%,70%,82%,80%,68%,72%,79%,73%,65%,65%,45%,88%,86%,79%,63%,54%,58%,45%,77%,87%,59%,73%,62%,75%,79%,61%,64%,70%,21%,26%,20%,56%,48%,38%,36%,27%,26%,52%,30%,40%,41%,39%,39%,38%,37%,40%,35%,86%,65%,66%,64%,74%,44%,68%,52%,45%,92%,71%,65%,15%,12%,37%,22%,61%,66%,58%,48%
HM Revenue & Customs,Valuation Office Agency,VOA,57%,45%,68%,72%,69%,78%,45%,68%,64%,21%,28%,83%,80%,69%,44%,67%,68%,76%,67%,83%,79%,66%,72%,78%,74%,61%,68%,40%,87%,81%,67%,57%,52%,33%,37%,72%,84%,52%,65%,56%,73%,84%,50%,56%,67%,21%,26%,16%,44%,32%,30%,21%,17%,15%,44%,21%,29%,29%,25%,42%,27%,26%,27%,23%,85%,58%,53%,55%,64%,31%,66%,43%,34%,92%,74%,64%,13%,9%,33%,16%,59%,65%,56%,45%
HM Treasury and Chancellor's other departments,HM Treasury,HMT,94%,74%,82%,87%,73%,84%,63%,81%,75%,28%,62%,93%,86%,82%,69%,82%,87%,87%,78%,88%,88%,70%,83%,83%,68%,68%,67%,40%,88%,84%,80%,71%,59%,65%,57%,89%,89%,76%,72%,77%,77%,89%,80%,61%,65%,31%,34%,19%,79%,71%,51%,72%,53%,52%,73%,49%,62%,89%,79%,65%,73%,69%,67%,46%,88%,76%,81%,72%,75%,66%,76%,47%,31%,95%,59%,83%,8%,9%,35%,20%,70%,72%,62%,40%
HM Treasury and Chancellor's other departments,UK Debt Management Office,DMO,77%,62%,67%,86%,62%,80%,48%,69%,75%,33%,50%,83%,67%,66%,46%,70%,86%,86%,55%,80%,70%,58%,66%,74%,55%,60%,61%,38%,87%,85%,68%,69%,50%,30%,43%,71%,76%,56%,73%,63%,70%,92%,80%,70%,76%,37%,33%,30%,71%,57%,51%,51%,33%,52%,57%,38%,42%,60%,49%,57%,46%,48%,30%,25%,80%,45%,65%,67%,64%,45%,54%,42%,40%,89%,80%,69%,4%,6%,n<10,n<10,64%,63%,61%,56%
HM Treasury and Chancellor's other departments,Government Internal Audit Agency,GIAA,78%,49%,72%,72%,65%,72%,44%,69%,67%,22%,42%,90%,81%,72%,51%,69%,73%,72%,69%,84%,80%,58%,71%,76%,65%,59%,58%,34%,76%,73%,65%,51%,45%,43%,35%,75%,83%,60%,57%,58%,71%,88%,59%,57%,65%,24%,27%,15%,59%,49%,49%,40%,20%,30%,58%,34%,41%,42%,31%,25%,28%,28%,56%,44%,84%,62%,56%,64%,59%,44%,66%,73%,54%,98%,79%,75%,17%,11%,41%,29%,66%,72%,65%,49%
Home Office,Home Office group,HOMEOFFICEGROUP,58%,56%,70%,81%,64%,77%,47%,71%,66%,27%,41%,87%,76%,71%,52%,62%,79%,83%,65%,76%,75%,62%,69%,74%,63%,58%,59%,38%,82%,78%,70%,55%,46%,47%,39%,73%,81%,60%,70%,64%,72%,83%,57%,58%,64%,28%,27%,25%,57%,47%,45%,41%,29%,28%,50%,32%,39%,53%,45%,43%,43%,41%,42%,34%,85%,62%,60%,62%,70%,42%,61%,40%,36%,86%,63%,60%,17%,14%,41%,16%,61%,68%,60%,48%
Home Office,Home Office: Policy and Enablers (formerly known as Home Office HQ),PE,64%,61%,78%,82%,69%,82%,55%,78%,69%,34%,43%,90%,81%,77%,64%,79%,80%,84%,72%,85%,83%,65%,77%,79%,65%,62%,65%,39%,85%,83%,79%,60%,52%,57%,50%,81%,85%,70%,77%,69%,74%,87%,58%,60%,68%,38%,34%,30%,61%,51%,40%,45%,27%,27%,55%,38%,44%,63%,53%,47%,47%,44%,51%,41%,89%,73%,65%,67%,76%,47%,68%,49%,37%,87%,60%,66%,12%,11%,36%,18%,66%,72%,63%,49%
Home Office,Home Office: Border Force,BF,40%,47%,61%,75%,57%,67%,37%,61%,53%,20%,28%,85%,71%,64%,39%,45%,75%,76%,58%,70%,68%,54%,62%,71%,57%,49%,51%,31%,78%,68%,57%,42%,37%,38%,29%,63%,75%,48%,57%,51%,60%,71%,41%,47%,47%,22%,18%,19%,44%,35%,31%,28%,16%,15%,37%,22%,26%,41%,29%,36%,30%,28%,27%,22%,75%,49%,42%,55%,59%,28%,52%,29%,24%,87%,62%,48%,23%,20%,41%,12%,57%,63%,56%,49%
Home Office,Home Office: Immigration Enforcement,IE,56%,55%,70%,85%,63%,75%,45%,69%,65%,23%,41%,87%,75%,69%,52%,63%,84%,86%,63%,76%,75%,63%,67%,73%,63%,57%,59%,34%,81%,76%,68%,55%,46%,43%,37%,72%,80%,58%,68%,60%,71%,82%,54%,58%,64%,24%,24%,22%,56%,48%,47%,42%,29%,25%,48%,31%,39%,50%,43%,42%,43%,41%,40%,31%,84%,62%,58%,61%,67%,42%,59%,34%,32%,88%,66%,57%,20%,17%,46%,15%,60%,66%,60%,47%
Home Office,Home Office: UK Visas and Immigration,UKVI,72%,58%,68%,81%,63%,77%,45%,72%,69%,28%,45%,86%,75%,70%,52%,59%,78%,85%,65%,72%,72%,61%,68%,72%,61%,59%,57%,39%,83%,77%,70%,53%,42%,47%,37%,75%,82%,59%,73%,65%,76%,84%,61%,59%,69%,28%,28%,27%,62%,51%,51%,46%,35%,33%,52%,34%,40%,52%,50%,43%,45%,44%,44%,35%,88%,60%,64%,63%,72%,47%,62%,40%,40%,83%,60%,62%,15%,12%,40%,18%,61%,67%,59%,48%
Home Office,HM Passport Office,HMPO,59%,57%,69%,83%,67%,83%,53%,71%,73%,24%,43%,87%,75%,72%,48%,58%,81%,84%,68%,76%,76%,68%,70%,77%,69%,64%,62%,42%,86%,84%,78%,63%,56%,49%,42%,73%,81%,58%,72%,69%,78%,85%,71%,65%,69%,23%,26%,23%,51%,43%,52%,39%,36%,37%,52%,35%,41%,55%,45%,45%,45%,44%,40%,35%,87%,65%,68%,61%,72%,42%,64%,47%,45%,87%,67%,61%,17%,14%,45%,18%,61%,69%,61%,49%
Justice,Ministry of Justice (including agencies),MOJWITHAGENCIES,48%,56%,72%,79%,65%,78%,46%,72%,68%,21%,39%,89%,80%,75%,51%,65%,77%,80%,67%,76%,76%,63%,70%,74%,63%,61%,61%,40%,83%,79%,71%,54%,45%,44%,40%,76%,83%,61%,70%,64%,75%,87%,60%,56%,64%,20%,25%,19%,54%,50%,40%,39%,30%,26%,48%,31%,37%,56%,39%,48%,43%,40%,38%,33%,89%,66%,61%,66%,70%,44%,61%,39%,38%,82%,65%,61%,14%,12%,42%,20%,63%,70%,61%,48%
Justice,Ministry of Justice (HQ),MOJHQ,87%,63%,79%,82%,71%,84%,53%,81%,72%,35%,48%,90%,81%,78%,62%,82%,80%,83%,74%,87%,84%,67%,79%,81%,68%,66%,65%,42%,87%,85%,81%,61%,50%,54%,47%,83%,88%,73%,80%,68%,73%,88%,69%,63%,72%,37%,39%,31%,68%,58%,44%,50%,35%,33%,57%,41%,48%,67%,59%,48%,51%,49%,56%,42%,90%,75%,67%,69%,80%,54%,71%,52%,44%,91%,66%,72%,11%,9%,39%,21%,69%,73%,64%,49%
Justice,Criminal Injuries Compensation Authority,CICA,78%,65%,74%,88%,69%,84%,61%,79%,78%,18%,59%,92%,82%,81%,54%,58%,88%,88%,69%,79%,78%,73%,71%,76%,69%,67%,65%,46%,88%,85%,79%,75%,60%,59%,51%,83%,84%,66%,83%,76%,77%,89%,81%,68%,79%,14%,27%,14%,80%,63%,67%,56%,50%,52%,64%,45%,54%,67%,62%,63%,59%,56%,62%,47%,88%,69%,78%,67%,82%,65%,73%,57%,49%,92%,74%,76%,13%,13%,23%,12%,67%,69%,64%,52%
Justice,HM Courts and Tribunals Service,HMCTS,63%,53%,71%,78%,67%,81%,46%,74%,72%,16%,43%,87%,78%,74%,53%,63%,76%,79%,68%,78%,77%,65%,71%,75%,68%,64%,64%,43%,85%,82%,75%,59%,44%,42%,36%,77%,83%,62%,73%,70%,80%,87%,66%,60%,69%,14%,22%,12%,54%,49%,49%,40%,34%,31%,54%,36%,41%,48%,35%,40%,40%,37%,43%,39%,91%,69%,66%,63%,70%,45%,62%,47%,46%,89%,76%,68%,11%,10%,42%,18%,62%,67%,60%,48%
Justice,HM Prison and Probation Service (HQ),HMPPHQ,45%,62%,82%,85%,73%,86%,57%,80%,74%,40%,46%,94%,85%,83%,66%,85%,83%,87%,77%,87%,85%,72%,80%,82%,70%,69%,71%,40%,89%,86%,82%,60%,55%,58%,56%,83%,88%,73%,77%,72%,79%,91%,66%,64%,69%,41%,43%,35%,61%,61%,48%,53%,32%,26%,55%,36%,43%,64%,48%,60%,51%,49%,46%,38%,92%,75%,67%,74%,76%,53%,73%,36%,34%,91%,71%,71%,12%,11%,46%,24%,68%,76%,65%,52%
Justice,HM Prison Service,HMPS,26%,54%,69%,72%,57%,70%,42%,66%,61%,19%,31%,87%,79%,71%,47%,60%,71%,74%,60%,66%,69%,53%,62%,67%,51%,50%,51%,35%,76%,70%,63%,46%,41%,43%,38%,69%,77%,53%,62%,56%,67%,83%,57%,50%,55%,19%,20%,18%,44%,43%,30%,31%,24%,20%,36%,24%,29%,57%,32%,51%,39%,35%,25%,24%,85%,59%,52%,68%,64%,35%,52%,29%,31%,75%,63%,52%,18%,16%,37%,18%,62%,69%,61%,50%
Justice,Legal Aid Agency,LAA,88%,71%,82%,91%,79%,89%,64%,87%,83%,40%,69%,90%,84%,83%,69%,82%,90%,92%,79%,90%,87%,79%,83%,84%,81%,76%,76%,57%,90%,89%,89%,77%,61%,63%,55%,87%,91%,77%,91%,80%,88%,91%,78%,77%,84%,33%,54%,33%,81%,73%,75%,70%,65%,62%,75%,57%,65%,73%,75%,64%,66%,65%,72%,64%,93%,82%,82%,78%,90%,71%,78%,67%,65%,92%,75%,80%,8%,7%,45%,26%,70%,73%,68%,51%
Justice,MoJ Arms Length Bodies,ALBS,71%,63%,77%,87%,70%,79%,49%,79%,72%,29%,57%,91%,80%,77%,59%,76%,86%,89%,69%,84%,81%,71%,74%,81%,70%,63%,65%,37%,83%,80%,74%,60%,48%,44%,42%,81%,86%,68%,80%,72%,78%,90%,64%,59%,72%,31%,30%,26%,78%,67%,52%,57%,44%,41%,69%,51%,55%,68%,53%,55%,53%,52%,58%,46%,89%,70%,72%,67%,77%,55%,65%,45%,37%,78%,55%,62%,10%,9%,35%,15%,65%,70%,63%,48%
Justice,National Probation Service,NPS,70%,56%,71%,81%,65%,76%,41%,71%,61%,19%,30%,93%,83%,76%,42%,59%,80%,82%,66%,76%,74%,64%,70%,75%,63%,61%,61%,37%,84%,78%,67%,46%,44%,38%,37%,75%,85%,58%,65%,57%,74%,89%,42%,47%,57%,19%,21%,19%,48%,48%,22%,32%,19%,12%,39%,20%,26%,57%,33%,53%,41%,36%,27%,20%,88%,60%,55%,65%,65%,40%,59%,25%,25%,73%,48%,50%,16%,13%,48%,23%,63%,72%,60%,45%
Justice,Office of the Public Guardian,OPG,79%,58%,65%,85%,68%,79%,47%,71%,74%,16%,43%,80%,67%,66%,49%,61%,83%,86%,68%,75%,76%,65%,70%,76%,73%,69%,65%,48%,85%,80%,72%,58%,45%,49%,38%,72%,80%,59%,73%,72%,81%,88%,65%,66%,70%,15%,19%,14%,60%,45%,49%,41%,32%,37%,52%,35%,40%,61%,48%,42%,46%,45%,42%,34%,88%,58%,64%,59%,73%,42%,62%,43%,44%,83%,63%,56%,21%,19%,49%,15%,56%,64%,57%,46%
National Crime Agency,National Crime Agency,NCA,65%,53%,67%,75%,61%,75%,33%,69%,60%,14%,26%,87%,71%,70%,45%,65%,76%,74%,60%,81%,76%,55%,66%,74%,54%,51%,58%,32%,81%,77%,68%,37%,37%,29%,30%,73%,82%,54%,67%,56%,63%,77%,41%,55%,65%,14%,15%,13%,36%,33%,29%,25%,12%,14%,34%,21%,30%,59%,31%,41%,37%,32%,29%,24%,85%,64%,55%,69%,71%,31%,58%,24%,19%,91%,68%,60%,18%,13%,33%,15%,65%,71%,64%,56%
National Savings and Investments,National Savings and Investments,NSANDI,91%,67%,79%,90%,74%,83%,65%,76%,74%,34%,57%,91%,85%,80%,63%,77%,89%,92%,73%,87%,86%,76%,78%,81%,75%,72%,70%,45%,90%,85%,76%,86%,66%,51%,59%,77%,82%,69%,77%,66%,82%,95%,68%,61%,72%,34%,40%,26%,70%,62%,61%,58%,33%,51%,65%,49%,62%,72%,66%,64%,59%,59%,59%,49%,87%,78%,78%,61%,77%,59%,72%,45%,39%,91%,63%,72%,13%,12%,10%,10%,67%,76%,64%,49%
Office of Rail and Road,Office of Rail and Road,ORR,80%,57%,79%,81%,67%,81%,52%,73%,74%,23%,45%,90%,78%,78%,63%,85%,82%,80%,69%,85%,81%,65%,77%,75%,64%,57%,55%,38%,86%,83%,74%,66%,59%,33%,48%,75%,83%,62%,70%,67%,76%,92%,66%,67%,73%,25%,22%,23%,64%,56%,43%,55%,23%,28%,53%,35%,45%,52%,53%,39%,38%,37%,42%,27%,92%,73%,65%,62%,60%,45%,64%,28%,21%,90%,62%,65%,14%,13%,42%,26%,72%,76%,68%,53%
Ofgem,Ofgem,OFGEM,88%,59%,74%,80%,69%,82%,51%,77%,71%,30%,42%,87%,77%,72%,57%,79%,78%,81%,71%,86%,86%,64%,77%,80%,63%,65%,60%,37%,86%,84%,78%,59%,52%,46%,48%,81%,87%,66%,76%,66%,72%,92%,72%,55%,68%,29%,38%,23%,65%,51%,34%,45%,25%,25%,54%,34%,47%,59%,58%,41%,42%,42%,52%,34%,88%,72%,68%,63%,72%,44%,67%,25%,19%,83%,52%,68%,10%,7%,31%,19%,66%,70%,64%,46%
Ofqual,Ofqual,OFQUAL,85%,67%,76%,87%,76%,88%,66%,78%,80%,57%,64%,89%,73%,72%,66%,80%,89%,86%,74%,88%,83%,74%,80%,86%,76%,70%,79%,52%,89%,90%,86%,76%,74%,46%,66%,83%,89%,69%,70%,73%,83%,92%,87%,70%,78%,56%,60%,56%,74%,67%,62%,69%,51%,57%,78%,59%,56%,72%,63%,54%,62%,60%,75%,65%,85%,73%,70%,60%,72%,65%,78%,50%,38%,96%,65%,78%,7%,8%,54%,15%,65%,66%,65%,50%
Ofsted,Ofsted,OFSTED,86%,68%,78%,93%,76%,84%,56%,81%,77%,51%,63%,94%,84%,85%,57%,71%,93%,93%,76%,85%,83%,75%,81%,84%,81%,75%,74%,47%,89%,86%,78%,64%,60%,50%,49%,82%,90%,75%,78%,78%,87%,94%,82%,60%,62%,50%,55%,46%,78%,75%,70%,70%,51%,45%,74%,55%,51%,75%,63%,57%,65%,62%,66%,53%,90%,68%,74%,75%,76%,71%,80%,44%,40%,87%,68%,77%,10%,8%,50%,26%,67%,75%,67%,51%
Scottish Government,Scottish Government,SG,78%,63%,79%,82%,73%,82%,57%,81%,75%,37%,46%,92%,82%,77%,63%,81%,81%,83%,74%,88%,85%,64%,79%,84%,71%,66%,75%,39%,87%,83%,76%,64%,53%,59%,51%,85%,86%,72%,83%,72%,75%,89%,74%,63%,74%,38%,42%,31%,60%,55%,42%,51%,30%,27%,61%,39%,45%,63%,64%,50%,48%,45%,49%,37%,91%,74%,62%,63%,80%,47%,63%,27%,22%,93%,70%,73%,10%,9%,37%,20%,68%,73%,64%,52%
Scottish Government,Accountant in Bankruptcy,AIB,86%,56%,67%,83%,65%,72%,55%,74%,76%,35%,47%,83%,67%,63%,53%,69%,84%,82%,66%,87%,74%,61%,66%,75%,71%,56%,66%,32%,77%,70%,69%,73%,55%,43%,48%,81%,79%,58%,79%,65%,69%,91%,78%,70%,84%,36%,36%,33%,72%,54%,39%,47%,36%,35%,52%,40%,49%,43%,52%,34%,36%,35%,53%,43%,86%,65%,68%,59%,77%,40%,59%,38%,31%,99%,90%,73%,14%,4%,n<10,n<10,67%,65%,64%,50%
Scottish Government,Crown Office and Procurator Fiscal Service,COPFS,52%,55%,71%,80%,62%,73%,39%,67%,69%,20%,30%,91%,77%,74%,49%,66%,81%,80%,62%,78%,72%,56%,67%,70%,62%,56%,61%,32%,81%,76%,62%,56%,38%,31%,31%,71%,77%,53%,66%,64%,75%,91%,64%,57%,64%,19%,26%,15%,32%,41%,29%,34%,22%,20%,42%,26%,28%,52%,36%,52%,40%,37%,31%,21%,85%,59%,49%,54%,65%,34%,52%,21%,23%,92%,67%,55%,16%,14%,44%,16%,66%,72%,60%,49%
Scottish Government,Disclosure Scotland,DS,94%,62%,65%,91%,72%,73%,58%,76%,79%,38%,52%,84%,68%,72%,47%,56%,90%,92%,70%,81%,76%,73%,74%,78%,73%,71%,74%,50%,81%,75%,65%,66%,58%,58%,49%,79%,80%,64%,81%,76%,79%,93%,73%,79%,76%,36%,41%,36%,67%,54%,46%,51%,46%,41%,64%,41%,53%,60%,56%,51%,58%,57%,50%,36%,90%,66%,70%,70%,83%,53%,64%,39%,39%,86%,69%,69%,13%,13%,43%,19%,65%,66%,56%,52%
Scottish Government,Education Scotland,ES,73%,45%,68%,60%,61%,73%,28%,61%,57%,35%,20%,86%,78%,73%,36%,66%,56%,63%,66%,78%,73%,54%,67%,70%,61%,57%,54%,28%,76%,74%,68%,36%,32%,20%,26%,64%,70%,54%,56%,48%,59%,84%,49%,52%,53%,36%,37%,33%,24%,21%,21%,18%,7%,9%,34%,25%,17%,36%,23%,34%,27%,23%,28%,8%,82%,53%,32%,39%,51%,23%,63%,35%,26%,89%,74%,55%,20%,21%,44%,22%,70%,75%,70%,57%
Scottish Government,Food Standards Scotland,FSS,91%,65%,78%,91%,73%,80%,61%,83%,82%,42%,56%,92%,82%,80%,64%,72%,90%,92%,73%,80%,80%,75%,77%,84%,73%,65%,73%,45%,84%,81%,77%,75%,67%,50%,51%,88%,86%,76%,82%,81%,85%,93%,85%,73%,77%,40%,50%,34%,61%,64%,67%,61%,46%,44%,71%,44%,45%,66%,60%,49%,55%,54%,56%,35%,94%,74%,70%,59%,80%,55%,69%,46%,39%,93%,77%,74%,8%,9%,36%,36%,75%,79%,74%,60%
