Departmental grouping,Organisation,Acronym,Response rate,Employee engagement index,My work theme score (B01-B05),Organisational objectives and purpose theme score (B06-B08),My manager theme score (B09-B18),My team theme score (B19-B21),Learning and development theme score (B22-B25),Inclusion and fair treatment theme score (B26-B29),Resources and workload theme score (B30-B36),Pay and benefits theme score (B37-B39),Leadership and managing change theme score (B40-B49),B01. I am interested in my work (% strongly agree or agree),B02. I am sufficiently challenged by my work (% strongly agree or agree),B03. My work gives me a sense of personal accomplishment (% strongly agree or agree),B04. I feel involved in the decisions that affect my work (% strongly agree or agree),B05. I have a choice in deciding how I do my work (% strongly agree or agree),B06. I have a clear understanding of [my organisation's] purpose (% strongly agree or agree),B07. I have a clear understanding of [my organisation's] objectives (% strongly agree or agree),B08. I understand how my work contributes to [my organisation's] objectives (% strongly agree or agree),B09. My manager motivates me to be more effective in my job (% strongly agree or agree),B10. My manager is considerate of my life outside work (% strongly agree or agree),B11. My manager is open to my ideas (% strongly agree or agree),B12. My manager helps me to understand how I contribute to [my organisation's] objectives (% strongly agree or agree),"B13. Overall, I have confidence in the decisions made by my manager (% strongly agree or agree)",B14. My manager recognises when I have done my job well (% strongly agree or agree),B15. I receive regular feedback on my performance (% strongly agree or agree),B16. The feedback I receive helps me to improve my performance (% strongly agree or agree),B17. I think that my performance is evaluated fairly (% strongly agree or agree),B18. Poor performance is dealt with effectively in my team (% strongly agree or agree),B19. The people in my team can be relied upon to help when things get difficult in my job (% strongly agree or agree),B20. The people in my team work together to find ways to improve the service we provide (% strongly agree or agree),B21. The people in my team are encouraged to come up with new and better ways of doing things (% strongly agree or agree),B22. I am able to access the right learning and development opportunities when I need to (% strongly agree or agree),B23. Learning and development activities I have completed in the past 12 months have helped to improve my performance (% strongly agree or agree),B24. There are opportunities for me to develop my career in [my organisation] (% strongly agree or agree),B25. Learning and development activities I have completed while working for [my organisation] are helping me to develop my career (% strongly agree or agree),B26. I am treated fairly at work (% strongly agree or agree),B27. I am treated with respect by the people I work with (% strongly agree or agree),B28. I feel valued for the work I do (% strongly agree or agree),"B29. I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc) (% strongly agree or agree)","B30. In my job, I am clear what is expected of me (% strongly agree or agree)",B31. I get the information I need to do my job well (% strongly agree or agree),B32. I have clear work objectives (% strongly agree or agree),B33. I have the skills I need to do my job effectively (% strongly agree or agree),B34. I have the tools I need to do my job effectively (% strongly agree or agree),B35. I have an acceptable workload (% strongly agree or agree),B36. I achieve a good balance between my work life and my private life (% strongly agree or agree),B37. I feel that my pay adequately reflects my performance (% strongly agree or agree),B38. I am satisfied with the total benefits package (% strongly agree or agree),B39. Compared to people doing a similar job in other organisations I feel my pay is reasonable (% strongly agree or agree),B40. I feel that [my organisation] as a whole is managed well (% strongly agree or agree),B41. [Senior managers] in [my organisation] are sufficiently visible (% strongly agree or agree),B42. I believe the actions of [senior managers] are consistent with [my organisation's] values (% strongly agree or agree),B43. I believe that [the board has] a clear vision for the future of [my organisation] (% strongly agree or agree),"B44. Overall, I have confidence in the decisions made by [my organisation's senior managers] (% strongly agree or agree)",B45. I feel that change is managed well in [my organisation] (% strongly agree or agree),B46. When changes are made in [my organisation] they are usually for the better (% strongly agree or agree),B47. [My organisation] keeps me informed about matters that affect me (% strongly agree or agree),B48. I have the opportunity to contribute my views before decisions are made that affect me (% strongly agree or agree),B49. I think it is safe to challenge the way things are done in [my organisation] (% strongly agree or agree),B50. I am proud when I tell others I am part of [my organisation] (% strongly agree or agree),B51. I would recommend [my organisation] as a great place to work (% strongly agree or agree),B52. I feel a strong personal attachment to [my organisation] (% strongly agree or agree),B53. [My organisation] inspires me to do the best in my job (% strongly agree or agree),B54. [My organisation] motivates me to help it achieve its objectives (% strongly agree or agree),B55. I believe that [senior managers] in [my organisation] will take action on the results from this survey (% strongly agree or agree),B56. I believe that managers where I work will take action on the results from this survey (% strongly agree or agree),"B57. Where I work, I think effective action has been taken on the results of the last survey (% strongly agree or agree)",B58. I am trusted to carry out my job effectively (% strongly agree or agree),"B59. I believe I would be supported if I tried a new idea, even if it may not work (% strongly agree or agree)","B60. My performance is evaluated based on whether I get things done, rather than solely follow process (% strongly agree or agree)","B61. When I talk about my organisation I say ""we"" rather than ""they"" (% strongly agree or agree)",B62. I have some really good friendships at work (% strongly agree or agree),B63. My manager inspires my team to do our best,B64. [Senior managers] inspire people across [my organisation] to do their best,B65. My manager leads our team with confidence,B66. [Senior managers] lead [my organisation] with confidence,B67. My manager empowers me to do my job effectively,B68. [My organisation’s senior managers] empower teams to deliver,B69. [Senior managers] in [my organisation] actively role model the behaviours set out in the Civil Service Leadership Statement,B70. My manager actively role models the behaviours set out in the Civil Service Leadership Statement,D01. Are you aware of the Civil Service Code? (% yes),D02. Are you aware of how to raise a concern under the Civil Service Code? (% yes),D03. Are you confident that if you raise a concern under the Civil Service Code in [your organisation] it would be investigated properly? (% yes),"E01. During the past 12 months, have you personally experienced discrimination at work? (% yes)","E03. During the past 12 months, have you personally experienced bullying or harassment at work? (% yes)","W01. Overall, how satisfied are you with your life nowadays? (% rating 7-10)","W02. Overall, to what extent do you feel the things you do in your life are worthwhile? (% rating 7-10)","W03. Overall, how happy did you feel yesterday? (% rating 7-10)","W04. Overall, how anxious did you feel yesterday? (% rating 0-3)"
Defence,UK Hydrographic Office,UKHO,65%,56%,72%,79%,65%,83%,47%,69%,70%,21%,29%,88%,76%,73%,55%,70%,84%,73%,79%,62%,82%,81%,62%,71%,73%,67%,58%,60%,35%,88%,83%,78%,61%,48%,36%,43%,77%,86%,55%,59%,85%,66%,70%,84%,61%,56%,69%,19%,27%,18%,30%,32%,27%,34%,25%,18%,25%,44%,25%,34%,61%,37%,47%,37%,34%,22%,40%,17%,89%,66%,60%,63%,76%,63%,21%,67%,36%,69%,25%,17%,52%,88%,65%,64%,8%,8%,60%,67%,57%,47%
Department for Education,Department for Education,DFE,88%,60%,78%,86%,73%,86%,56%,79%,73%,43%,48%,90%,83%,77%,63%,78%,89%,84%,86%,75%,85%,85%,68%,80%,83%,71%,68%,62%,48%,87%,86%,84%,64%,59%,53%,47%,82%,88%,72%,76%,84%,72%,79%,88%,74%,54%,62%,45%,45%,39%,53%,57%,51%,45%,48%,40%,31%,65%,43%,45%,60%,53%,45%,47%,44%,51%,63%,42%,88%,72%,67%,73%,75%,74%,43%,78%,55%,77%,47%,43%,67%,94%,70%,73%,10%,8%,65%,70%,59%,44%
Department of Energy and Climate Change,Department of Energy and Climate Change,DECC,95%,59%,77%,76%,68%,82%,57%,78%,71%,28%,44%,91%,79%,75%,59%,80%,78%,72%,79%,70%,86%,86%,62%,77%,80%,62%,63%,60%,38%,86%,84%,76%,70%,60%,46%,50%,82%,88%,68%,73%,76%,67%,74%,89%,74%,54%,62%,32%,30%,24%,42%,66%,50%,29%,42%,33%,25%,68%,38%,47%,63%,49%,42%,44%,41%,51%,65%,41%,87%,73%,68%,75%,70%,68%,40%,76%,51%,73%,43%,40%,61%,96%,73%,77%,7%,7%,67%,72%,62%,47%
"Environment, Food & Rural Affairs","Department for Environment, Food & Rural Affairs",DEFRA,84%,50%,75%,73%,69%,82%,47%,75%,72%,27%,33%,88%,81%,72%,54%,78%,74%,72%,75%,70%,87%,85%,60%,77%,81%,65%,62%,58%,42%,86%,83%,78%,63%,53%,31%,41%,79%,85%,63%,72%,79%,70%,74%,86%,71%,56%,66%,28%,30%,23%,31%,53%,41%,21%,30%,18%,14%,49%,30%,40%,43%,33%,40%,30%,28%,42%,65%,44%,86%,70%,67%,68%,72%,70%,31%,75%,41%,74%,33%,33%,59%,96%,70%,68%,10%,9%,60%,67%,58%,46%
"Environment, Food & Rural Affairs",Animal and Plant Health Agency,APHA,64%,49%,69%,71%,61%,77%,42%,69%,67%,28%,25%,88%,75%,70%,44%,69%,74%,65%,72%,60%,79%,76%,58%,64%,73%,63%,53%,53%,35%,83%,79%,70%,57%,48%,30%,32%,70%,81%,57%,66%,77%,61%,67%,85%,65%,51%,60%,26%,34%,24%,24%,35%,31%,22%,23%,16%,13%,40%,21%,29%,41%,26%,40%,30%,26%,27%,45%,25%,87%,61%,53%,58%,75%,59%,25%,62%,33%,64%,29%,25%,51%,93%,64%,58%,16%,15%,56%,63%,54%,47%
"Environment, Food & Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science",CEFAS,89%,63%,85%,83%,70%,84%,59%,78%,77%,24%,49%,95%,89%,86%,69%,87%,83%,81%,84%,69%,86%,84%,64%,72%,80%,68%,63%,67%,44%,86%,85%,82%,70%,52%,54%,58%,78%,87%,69%,79%,84%,76%,80%,91%,81%,59%,68%,22%,34%,16%,55%,53%,53%,52%,48%,36%,31%,62%,43%,51%,69%,56%,57%,51%,46%,49%,57%,34%,94%,77%,66%,75%,83%,66%,40%,73%,52%,72%,41%,39%,55%,94%,68%,75%,7%,7%,67%,72%,63%,51%
"Environment, Food & Rural Affairs",Rural Payments Agency,RPA,72%,43%,61%,80%,62%,75%,33%,63%,61%,26%,32%,78%,72%,59%,39%,56%,83%,78%,78%,62%,78%,74%,59%,67%,73%,59%,52%,52%,39%,84%,79%,63%,44%,35%,26%,27%,68%,81%,50%,54%,77%,48%,56%,76%,56%,51%,60%,25%,30%,22%,32%,46%,36%,44%,31%,21%,20%,47%,22%,26%,22%,21%,28%,23%,23%,29%,40%,22%,79%,52%,50%,49%,74%,61%,29%,66%,39%,65%,30%,27%,54%,94%,75%,62%,15%,13%,61%,66%,57%,49%
"Environment, Food & Rural Affairs",Veterinary Medicines Directorate,VMD,85%,63%,79%,93%,71%,86%,58%,81%,85%,32%,55%,87%,79%,79%,66%,82%,95%,90%,94%,64%,85%,85%,65%,75%,80%,72%,67%,69%,44%,89%,88%,82%,80%,64%,39%,47%,83%,89%,69%,82%,92%,86%,89%,92%,86%,70%,81%,33%,36%,26%,64%,56%,54%,62%,58%,46%,42%,70%,48%,54%,59%,57%,42%,48%,46%,56%,55%,33%,93%,78%,67%,80%,66%,65%,43%,65%,59%,72%,47%,45%,58%,92%,64%,70%,6%,7%,69%,76%,68%,56%
Food Standards Agency,Food Standards Agency,FSA,92%,60%,73%,82%,65%,75%,56%,71%,74%,30%,45%,88%,78%,75%,58%,65%,85%,81%,81%,66%,74%,76%,63%,68%,72%,68%,62%,60%,39%,76%,75%,74%,71%,59%,46%,50%,74%,80%,62%,69%,83%,70%,78%,89%,78%,59%,60%,29%,36%,25%,48%,55%,55%,58%,45%,31%,27%,55%,38%,38%,59%,45%,45%,47%,47%,55%,64%,49%,87%,63%,60%,65%,75%,66%,48%,70%,57%,69%,50%,47%,60%,95%,72%,67%,16%,16%,66%,71%,64%,51%
Foreign & Commonwealth Office,Foreign & Commonwealth Office,FCO,79%,68%,79%,81%,71%,81%,56%,78%,77%,26%,56%,92%,82%,81%,65%,74%,82%,78%,83%,73%,76%,81%,67%,73%,81%,69%,71%,67%,53%,84%,82%,78%,63%,61%,46%,54%,79%,85%,72%,76%,87%,76%,82%,90%,68%,63%,69%,27%,29%,23%,62%,72%,68%,50%,58%,47%,39%,64%,47%,51%,79%,62%,65%,63%,60%,57%,61%,47%,89%,70%,71%,75%,79%,72%,64%,74%,71%,76%,65%,56%,60%,71%,55%,61%,14%,12%,66%,73%,66%,46%
Foreign & Commonwealth Office,FCO Services,FCOS,73%,57%,73%,68%,63%,76%,46%,73%,68%,23%,36%,91%,76%,75%,49%,73%,69%,62%,73%,64%,79%,77%,60%,68%,75%,60%,57%,61%,35%,80%,78%,70%,55%,48%,39%,42%,78%,82%,63%,68%,80%,57%,69%,86%,59%,60%,65%,26%,25%,18%,37%,45%,39%,35%,35%,22%,22%,50%,31%,41%,54%,45%,47%,41%,36%,35%,52%,29%,89%,66%,61%,68%,75%,65%,34%,69%,45%,70%,35%,27%,49%,81%,60%,60%,10%,12%,68%,72%,66%,57%
Foreign & Commonwealth Office,Wilton Park,WPEA,93%,72%,79%,89%,74%,84%,45%,77%,80%,39%,56%,91%,81%,85%,64%,73%,92%,85%,89%,72%,88%,87%,75%,73%,81%,79%,70%,69%,43%,80%,86%,86%,64%,49%,27%,40%,84%,84%,64%,78%,84%,76%,87%,97%,88%,57%,73%,33%,45%,39%,69%,75%,66%,63%,55%,34%,43%,61%,46%,48%,78%,67%,70%,67%,64%,61%,69%,46%,90%,82%,73%,70%,84%,75%,54%,70%,61%,82%,64%,58%,62%,100%,76%,78%,10%,12%,84%,84%,69%,63%
Government Actuary's Department,Government Actuary's Department,GAD,90%,65%,79%,81%,68%,81%,47%,82%,79%,41%,54%,88%,84%,78%,64%,82%,83%,82%,76%,72%,80%,87%,58%,80%,72%,61%,60%,66%,42%,88%,82%,72%,57%,38%,50%,45%,83%,91%,74%,81%,82%,79%,76%,87%,82%,71%,76%,41%,51%,30%,57%,73%,63%,63%,54%,29%,43%,62%,44%,56%,65%,64%,55%,52%,50%,57%,53%,32%,92%,68%,71%,82%,63%,68%,46%,82%,62%,77%,54%,37%,50%,96%,54%,79%,7%,4%,66%,66%,58%,42%
Health,Department of Health,DH,80%,57%,75%,76%,70%,80%,53%,77%,72%,32%,38%,89%,79%,74%,58%,77%,78%,73%,76%,72%,85%,84%,63%,77%,82%,68%,63%,65%,37%,84%,81%,75%,65%,54%,46%,46%,82%,86%,69%,71%,80%,67%,74%,88%,71%,58%,66%,35%,33%,28%,42%,58%,48%,30%,42%,23%,18%,54%,33%,36%,56%,44%,46%,40%,37%,43%,60%,36%,87%,70%,67%,71%,73%,71%,38%,75%,49%,75%,40%,35%,61%,98%,69%,67%,9%,9%,65%,69%,60%,49%
Health,Medicines and Healthcare Products Regulatory Agency,MHRA,71%,63%,79%,86%,66%,79%,49%,73%,75%,29%,49%,90%,81%,80%,65%,78%,90%,82%,87%,67%,79%,78%,63%,70%,77%,63%,61%,63%,40%,84%,79%,75%,64%,50%,39%,43%,75%,83%,64%,71%,85%,74%,78%,93%,77%,56%,63%,31%,32%,25%,56%,58%,52%,54%,51%,40%,34%,62%,40%,46%,72%,59%,52%,52%,48%,51%,55%,38%,88%,68%,68%,70%,78%,66%,43%,72%,54%,71%,44%,40%,57%,86%,52%,59%,11%,12%,68%,74%,64%,51%
Health,Public Health England,PHE,63%,52%,74%,67%,64%,77%,45%,74%,70%,39%,30%,92%,79%,76%,52%,74%,69%,64%,67%,65%,78%,78%,53%,70%,76%,61%,59%,65%,34%,81%,79%,73%,58%,49%,33%,39%,77%,83%,65%,71%,79%,65%,75%,90%,72%,53%,58%,43%,37%,37%,30%,35%,33%,33%,28%,17%,16%,47%,33%,31%,51%,37%,31%,34%,30%,32%,49%,27%,89%,68%,65%,59%,75%,66%,31%,70%,39%,69%,29%,28%,54%,78%,48%,53%,11%,11%,64%,72%,62%,49%
HM Inspectorate of Constabulary,HM Inspectorate of Constabulary,HMIC,79%,63%,78%,85%,70%,83%,38%,71%,72%,51%,38%,96%,84%,83%,58%,71%,93%,80%,83%,73%,85%,83%,70%,81%,83%,67%,60%,59%,38%,91%,83%,74%,48%,41%,23%,38%,78%,81%,65%,60%,85%,67%,75%,91%,65%,64%,55%,55%,54%,44%,26%,31%,33%,43%,31%,30%,26%,68%,53%,39%,70%,42%,54%,54%,44%,50%,58%,33%,88%,64%,61%,79%,77%,74%,28%,81%,45%,75%,30%,28%,68%,85%,54%,61%,12%,10%,72%,78%,65%,58%
HM Revenue & Customs,HM Revenue & Customs,HMRC,65%,45%,65%,79%,65%,83%,50%,70%,66%,21%,30%,82%,77%,66%,43%,54%,80%,77%,80%,65%,76%,77%,63%,67%,76%,70%,61%,57%,40%,87%,84%,77%,61%,50%,49%,39%,74%,86%,52%,67%,82%,58%,73%,77%,56%,56%,64%,21%,23%,19%,27%,40%,34%,35%,25%,22%,21%,43%,25%,32%,31%,27%,33%,29%,28%,33%,48%,30%,83%,60%,51%,53%,80%,65%,28%,69%,37%,67%,31%,29%,59%,93%,68%,60%,14%,12%,60%,66%,57%,48%
HM Revenue & Customs,Valuation Office Agency,VOA,62%,48%,70%,79%,67%,77%,48%,71%,66%,24%,33%,85%,80%,69%,48%,68%,80%,74%,81%,66%,81%,77%,68%,72%,75%,69%,59%,62%,39%,85%,80%,67%,60%,52%,41%,39%,75%,85%,56%,67%,83%,57%,75%,84%,50%,49%,65%,24%,31%,19%,30%,45%,35%,38%,26%,22%,22%,49%,27%,34%,33%,30%,41%,30%,30%,34%,49%,28%,85%,59%,55%,60%,77%,67%,26%,70%,36%,67%,28%,28%,57%,93%,71%,65%,12%,9%,60%,67%,58%,48%
HM Treasury and Chancellor's other departments,HM Treasury,HMT,90%,72%,84%,89%,76%,87%,60%,83%,77%,22%,64%,94%,87%,83%,73%,84%,93%,87%,87%,80%,87%,90%,71%,84%,86%,71%,72%,71%,46%,91%,87%,84%,66%,57%,61%,56%,89%,91%,77%,74%,86%,79%,80%,89%,83%,62%,62%,24%,27%,15%,76%,79%,70%,57%,72%,54%,48%,74%,49%,63%,86%,78%,61%,68%,65%,67%,69%,41%,92%,79%,79%,82%,72%,77%,63%,83%,76%,82%,68%,57%,70%,96%,60%,82%,6%,7%,71%,72%,64%,43%
HM Treasury and Chancellor's other departments,UK Debt Management Office,DMO,54%,65%,74%,90%,69%,82%,57%,74%,78%,28%,55%,86%,64%,88%,59%,71%,95%,90%,86%,61%,90%,81%,71%,72%,71%,66%,61%,69%,42%,88%,88%,69%,78%,63%,39%,49%,72%,83%,68%,71%,85%,71%,69%,95%,80%,72%,76%,34%,25%,24%,58%,78%,66%,56%,63%,39%,43%,66%,41%,39%,75%,55%,54%,56%,58%,32%,36%,22%,84%,49%,69%,81%,76%,59%,46%,61%,53%,71%,46%,39%,57%,86%,68%,81%,5%,3%,64%,65%,67%,58%
HM Treasury and Chancellor's other departments,Government Internal Audit Agency,GIAA,42%,55%,78%,83%,68%,76%,44%,76%,68%,31%,46%,89%,88%,77%,61%,77%,87%,79%,84%,66%,89%,83%,67%,72%,82%,67%,63%,62%,29%,83%,75%,72%,61%,47%,37%,32%,81%,87%,69%,68%,78%,56%,78%,85%,58%,52%,68%,35%,32%,26%,42%,55%,52%,50%,46%,36%,32%,56%,38%,46%,48%,42%,32%,37%,41%,59%,62%,20%,90%,68%,70%,79%,56%,61%,38%,70%,55%,75%,42%,40%,60%,99%,82%,86%,10%,11%,62%,69%,63%,51%
Home Office,Home Office group,HOGROUP,51%,52%,66%,80%,61%,75%,42%,68%,66%,28%,35%,85%,72%,67%,47%,58%,82%,78%,81%,62%,73%,73%,59%,65%,73%,58%,55%,52%,36%,80%,76%,68%,54%,43%,37%,35%,69%,79%,55%,67%,80%,60%,69%,82%,57%,56%,61%,30%,28%,26%,35%,47%,39%,38%,33%,25%,23%,46%,28%,34%,47%,38%,39%,37%,35%,37%,47%,33%,82%,57%,56%,62%,76%,60%,34%,65%,42%,62%,34%,31%,52%,87%,63%,57%,18%,16%,60%,67%,59%,48%
Home Office,Home Office: Policy and Enablers (formerly known as Home Office HQ),PE,72%,56%,74%,84%,66%,79%,53%,74%,69%,33%,36%,88%,78%,73%,59%,74%,87%,82%,83%,68%,81%,82%,63%,73%,78%,62%,60%,57%,38%,81%,80%,74%,64%,53%,50%,48%,76%,82%,65%,72%,78%,64%,70%,85%,61%,58%,64%,36%,34%,29%,37%,50%,41%,32%,36%,21%,20%,52%,34%,38%,56%,43%,42%,40%,37%,44%,59%,41%,85%,67%,65%,68%,73%,65%,36%,72%,47%,71%,38%,32%,59%,93%,66%,64%,14%,13%,63%,70%,60%,47%
Home Office,Home Office: Border Force,BF,32%,40%,56%,69%,50%,63%,30%,54%,52%,20%,23%,82%,66%,57%,34%,39%,71%,68%,68%,50%,62%,63%,45%,55%,66%,47%,43%,43%,27%,75%,63%,51%,38%,32%,25%,23%,55%,70%,41%,50%,70%,46%,55%,69%,40%,43%,37%,22%,18%,20%,20%,31%,26%,28%,20%,14%,12%,35%,19%,22%,34%,19%,30%,24%,22%,23%,31%,20%,69%,42%,42%,49%,76%,48%,19%,54%,26%,51%,19%,21%,43%,88%,60%,42%,26%,24%,51%,59%,54%,47%
Home Office,Home Office: Immigration Enforcement,IE,46%,51%,66%,80%,59%,74%,37%,65%,63%,25%,33%,86%,73%,66%,47%,59%,82%,78%,81%,60%,73%,73%,57%,63%,73%,59%,53%,50%,33%,79%,74%,68%,52%,42%,26%,28%,67%,77%,53%,64%,78%,55%,66%,82%,50%,52%,59%,26%,25%,23%,34%,47%,38%,36%,32%,22%,20%,42%,25%,34%,42%,34%,37%,36%,34%,33%,42%,28%,83%,59%,53%,63%,74%,58%,33%,61%,40%,58%,32%,29%,50%,86%,62%,52%,20%,18%,59%,66%,57%,48%
Home Office,Home Office: UK Visas and Immigration,UKVI,61%,53%,64%,81%,60%,75%,38%,68%,69%,28%,38%,84%,71%,64%,46%,53%,83%,78%,83%,62%,69%,71%,59%,65%,72%,58%,56%,53%,38%,80%,76%,70%,50%,38%,34%,31%,70%,80%,54%,69%,85%,62%,73%,84%,59%,55%,66%,29%,28%,27%,38%,51%,42%,42%,36%,30%,28%,46%,28%,36%,46%,40%,39%,38%,37%,38%,46%,35%,85%,55%,58%,63%,77%,61%,37%,65%,46%,61%,38%,35%,51%,84%,60%,57%,17%,14%,61%,66%,58%,47%
Home Office,HM Passport Office,HMPO,51%,59%,68%,85%,66%,81%,51%,74%,78%,32%,43%,87%,72%,74%,47%,59%,87%,83%,86%,68%,76%,75%,68%,70%,75%,64%,62%,57%,42%,86%,83%,73%,65%,51%,49%,40%,76%,83%,60%,76%,88%,71%,79%,88%,72%,72%,73%,33%,33%,31%,45%,52%,45%,50%,38%,37%,34%,53%,32%,41%,57%,51%,47%,47%,44%,43%,53%,38%,87%,61%,58%,63%,82%,68%,39%,71%,49%,67%,41%,37%,58%,86%,66%,65%,15%,14%,65%,72%,64%,52%
International Development,Department for International Development,DFID,85%,70%,80%,90%,71%,80%,52%,78%,74%,36%,50%,94%,85%,80%,62%,78%,92%,89%,90%,73%,83%,83%,67%,73%,81%,69%,68%,66%,42%,83%,80%,77%,49%,54%,51%,55%,81%,86%,71%,74%,83%,73%,82%,90%,72%,54%,62%,37%,39%,33%,59%,66%,55%,54%,51%,37%,30%,64%,45%,43%,83%,67%,67%,63%,61%,55%,66%,48%,87%,67%,70%,85%,79%,71%,50%,76%,66%,76%,54%,49%,65%,94%,71%,74%,11%,9%,67%,76%,66%,46%
Justice,Ministry of Justice (including agencies),MOJGROUP,51%,53%,70%,78%,62%,77%,44%,70%,69%,25%,35%,88%,79%,72%,49%,61%,80%,76%,78%,63%,72%,74%,60%,66%,72%,60%,57%,58%,38%,82%,78%,70%,55%,45%,38%,37%,73%,82%,57%,69%,83%,64%,74%,86%,62%,54%,61%,24%,28%,22%,35%,46%,43%,36%,33%,26%,21%,46%,28%,33%,52%,34%,44%,38%,36%,33%,47%,31%,87%,63%,56%,55%,79%,63%,35%,64%,41%,63%,35%,34%,53%,84%,67%,59%,14%,12%,63%,70%,61%,50%
Justice,Ministry of Justice (HQ),MOJHQ,74%,59%,79%,83%,70%,83%,53%,79%,74%,31%,44%,91%,82%,78%,62%,80%,87%,80%,83%,71%,85%,83%,65%,75%,80%,67%,65%,64%,43%,87%,85%,78%,65%,54%,47%,48%,82%,87%,70%,79%,83%,68%,77%,90%,67%,61%,68%,34%,35%,25%,49%,60%,50%,40%,43%,32%,27%,60%,38%,42%,61%,49%,44%,44%,42%,51%,64%,43%,90%,72%,70%,71%,75%,71%,45%,75%,54%,76%,45%,41%,64%,96%,75%,71%,9%,9%,68%,73%,64%,49%
Justice,Criminal Injuries Compensation Authority,CICA,52%,54%,72%,85%,66%,80%,52%,72%,79%,14%,52%,91%,78%,76%,51%,64%,86%,84%,85%,64%,79%,75%,67%,69%,68%,67%,61%,62%,44%,85%,81%,73%,70%,60%,34%,46%,73%,79%,64%,72%,85%,74%,76%,91%,82%,70%,79%,13%,17%,11%,49%,73%,56%,56%,44%,44%,39%,60%,51%,44%,54%,36%,60%,48%,44%,54%,65%,50%,88%,64%,56%,77%,74%,63%,36%,65%,48%,60%,41%,39%,58%,89%,73%,73%,17%,16%,70%,75%,65%,56%
Justice,HM Courts and Tribunals Service,HMCTS,66%,51%,71%,79%,66%,82%,48%,73%,76%,19%,38%,87%,80%,74%,53%,63%,80%,78%,80%,67%,77%,78%,67%,68%,74%,66%,63%,61%,43%,84%,83%,79%,67%,50%,38%,36%,76%,83%,60%,72%,90%,73%,83%,88%,70%,59%,68%,15%,26%,14%,36%,49%,43%,42%,34%,29%,26%,51%,35%,38%,45%,31%,38%,37%,35%,41%,57%,42%,90%,71%,59%,53%,81%,68%,36%,69%,43%,66%,37%,37%,57%,92%,78%,67%,11%,10%,63%,70%,61%,49%
Justice,HM Prison Service,HMPS,37%,50%,64%,71%,53%,68%,38%,62%,61%,23%,26%,84%,77%,65%,42%,53%,73%,69%,71%,55%,60%,65%,49%,56%,64%,49%,47%,49%,32%,77%,70%,59%,43%,38%,35%,34%,64%,76%,49%,60%,77%,54%,64%,81%,55%,45%,50%,23%,23%,22%,27%,35%,36%,27%,25%,20%,14%,36%,20%,24%,51%,28%,45%,34%,30%,21%,33%,22%,82%,53%,47%,48%,78%,52%,27%,55%,31%,54%,27%,25%,43%,79%,68%,51%,18%,16%,59%,66%,59%,50%
Justice,Legal Aid Agency,LAA,85%,66%,77%,90%,74%,87%,61%,83%,80%,42%,63%,88%,78%,77%,65%,76%,92%,88%,91%,73%,86%,84%,73%,78%,80%,73%,70%,69%,48%,89%,86%,85%,73%,59%,59%,52%,84%,88%,72%,89%,90%,73%,84%,88%,74%,70%,79%,39%,51%,37%,65%,77%,65%,70%,61%,56%,51%,71%,54%,57%,63%,65%,56%,58%,57%,65%,73%,61%,91%,78%,73%,74%,84%,75%,59%,76%,68%,73%,58%,56%,69%,89%,71%,73%,9%,10%,70%,74%,65%,51%
Justice,MoJ Arms Length Bodies,ALBS,68%,67%,79%,94%,71%,82%,48%,79%,77%,32%,62%,93%,80%,79%,64%,78%,96%,92%,94%,70%,83%,84%,74%,76%,80%,67%,63%,67%,41%,85%,83%,77%,64%,49%,39%,41%,81%,86%,70%,79%,88%,77%,81%,92%,67%,64%,72%,34%,33%,29%,68%,80%,68%,60%,63%,50%,40%,75%,55%,59%,76%,60%,60%,60%,58%,55%,58%,40%,92%,72%,71%,82%,70%,71%,56%,74%,67%,74%,57%,51%,62%,86%,62%,66%,10%,11%,68%,76%,63%,50%
Justice,National Offender Management Service (HQ),NOMS,65%,59%,77%,84%,70%,83%,51%,78%,72%,42%,46%,91%,82%,78%,58%,76%,85%,81%,84%,73%,84%,84%,67%,77%,80%,67%,65%,67%,40%,87%,85%,78%,57%,51%,47%,49%,81%,87%,70%,76%,84%,69%,77%,89%,61%,58%,66%,44%,44%,39%,55%,57%,57%,48%,50%,34%,26%,57%,33%,39%,56%,44%,50%,43%,42%,44%,55%,34%,90%,71%,67%,67%,77%,72%,46%,74%,56%,74%,47%,46%,64%,92%,69%,69%,11%,9%,68%,75%,64%,52%
Justice,National Probation Service,NPS,48%,55%,71%,80%,63%,75%,36%,71%,65%,27%,25%,94%,86%,79%,38%,59%,82%,77%,81%,64%,74%,73%,61%,68%,74%,62%,59%,59%,34%,83%,78%,64%,40%,39%,30%,35%,75%,86%,58%,66%,82%,55%,73%,89%,50%,48%,56%,28%,25%,27%,27%,38%,40%,19%,26%,16%,9%,34%,15%,21%,56%,31%,51%,39%,35%,20%,36%,12%,89%,58%,51%,55%,81%,63%,30%,63%,33%,62%,27%,28%,49%,66%,37%,45%,14%,12%,65%,74%,61%,47%
