id,description,Employee engagement index 2,My work ,Organisational objectives and purpose ,My manager ,My team ,Learning and development ,Inclusion and fair treatment ,Resources and workload ,Pay and benefits ,Leadership and managing change ,B01. I am interested in my work ,B02. I am sufficiently challenged by my work ,B03. My work gives me a sense of personal accomplishment ,B04. I feel involved in the decisions that affect my work ,B05. I have a choice in deciding how I do my work,B06. I have a clear understanding of [my organisation's] purpose 3,B07. I have a clear understanding of [my organisation's] objectives ,B08. I understand how my work contributes to [my organisation's] objectives ,B09. My manager motivates me to be more effective in my job ,B10. My manager is considerate of my life outside work ,B11. My manager is open to my ideas ,B12. My manager helps me to understand how I contribute to [my organisation's] objectives ,"B13. Overall, I have confidence in the decisions made by my manager ",B14. My manager recognises when I have done my job well ,B15. I receive regular feedback on my performance ,B16. The feedback I receive helps me to improve my performance ,B17. I think that my performance is evaluated fairly ,B18. Poor performance is dealt with effectively in my team ,B19. The people in my team can be relied upon to help when things get difficult in my job ,B20. The people in my team work together to find ways to improve the service we provide ,B21. The people in my team are encouraged to come up with new and better ways of doing things ,B22. I am able to access the right learning and development opportunities when I need to ,B23. Learning and development activities I have completed in the past 12 months have helped to improve my performance ,B24. There are opportunities for me to develop my career in [my organisation] ,B25. Learning and development activities I have completed while working for [my organisation] are helping me to develop my career ,B26. I am treated fairly at work ,B27. I am treated with respect by the people I work with ,B28. I feel valued for the work I do ,"B29. I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc)  ","B30. In my job, I am clear what is expected of me ",B31. I get the information I need to do my job well ,B32. I have clear work objectives ,B33. I have the skills I need to do my job effectively ,B34. I have the tools I need to do my job effectively,B35. I have an acceptable workload,B36. I achieve a good balance between my work life and my private life,B37. I feel that my pay adequately reflects my performance ,B38. I am satisfied with the total benefits package ,B39. Compared to people doing a similar job in other organisations I feel my pay is reasonable ,B40. I feel that [my organisation] as a whole is managed well ,B41. [Senior managers] in [my organisation] are sufficiently visible ,B42. I believe the actions of [senior managers] are consistent with [my organisation's] values ,B43. I believe that [the board has] a clear vision for the future of [my organisation] ,"B44. Overall, I have confidence in the decisions made by [my organisation's senior managers] ",B45. I feel that change is managed well in [my organisation] ,B46. When changes are made in [my organisation] they are usually for the better ,B47. [My organisation] keeps me informed about matters that affect me ,B48. I have the opportunity to contribute my views before decisions are made that affect me ,B49. I think it is safe to challenge the way things are done in [my organisation] ,B50. I am proud when I tell others I am part of [my organisation] ,B51. I would recommend [my organisation] as a great place to work ,B52. I feel a strong personal attachment to [my organisation] ,B53. [My organisation] inspires me to do the best in my job ,B54. [My organisation] motivates me to help it achieve its objectives,B55. I believe that [senior managers] in [my organisation] will take action on the results from this survey ,B56. I believe that managers where I work will take action on the results from this survey ,"B57. Where I work, I think effective action has been taken on the results of the last survey 7 ",B58. I am trusted to carry out my job effectively ,"B59. I believe I would be supported if I try a new idea, even if it may not work ","B60. My performance is evaluated based on whether I get things done, rather than solely follow process ","B61. When I talk about [my organisation] I say ""we"" rather than ""they” ",B62. I have some really good friendships at work ,I want to leave [my organisation] as soon as possible ,I want to leave [my organisation] within the next 12 months ,I want to stay working for [my organisation] for at least the next year ,I want to stay working for [my organisation] for at least the next three years ,D01. Are you aware of the Civil Service Code? ,D02. Are you aware of how to raise a concern under the Civil Service Code? ,D03. Are you confident that if you raise a concern under the Civil Service Code in [your organisation] it would be investigated properly? ,"W01. Overall, how satisfied are you with your life nowadays? (% 7-10) 
(0=not at all satisfied, 10=completely satisfied) ","W02. Overall, to what extent do you think the things you do in your life are worthwhile? (% 7-10) 
(0=not at all worthwhile, 10=completely worthwhile) ","W03. Overall, how happy did you feel yesterday? (% 7-10) 
(0=not at all happy, 10=completely happy) ","W04. Overall, how anxious did you feel yesterday? (% 0-3) 
(0=not at all anxious, 10=completely anxious) ",E01. During the past 12 months have you personally experienced discrimination at work? ,E03. During the past 12 months have you personally experienced bullying or harassment at work? 
loso_5_10y,"5 years but less than 10 years  (n=47,770)",0.53,0.68,0.78,0.64,0.77,0.47,0.71,0.69,0.26,0.35,0.85,0.75,0.7,0.48,0.62,0.8,0.76,0.78,0.65,0.76,0.76,0.6,0.68,0.75,0.64,0.6,0.59,0.39,0.82,0.78,0.7,0.58,0.49,0.41,0.41,0.74,0.82,0.57,0.69,0.82,0.63,0.73,0.85,0.61,0.56,0.64,0.25,0.3,0.23,0.36,0.43,0.39,0.36,0.33,0.27,0.25,0.49,0.29,0.36,0.51,0.4,0.41,0.38,0.36,0.36,0.48,0.33,0.86,0.63,0.58,0.59,0.79,0.1,0.14,0.27,0.49,0.86,0.64,0.61,0.6,0.67,0.58,0.5,0.13,0.12
loso_10yp,"10 years or more  (n=149,617)",0.52,0.72,0.8,0.65,0.79,0.47,0.72,0.69,0.25,0.34,0.87,0.81,0.73,0.52,0.65,0.81,0.77,0.8,0.65,0.76,0.76,0.62,0.68,0.75,0.65,0.59,0.59,0.42,0.83,0.81,0.73,0.61,0.48,0.41,0.39,0.75,0.84,0.59,0.69,0.83,0.63,0.74,0.84,0.61,0.55,0.63,0.25,0.29,0.22,0.34,0.39,0.36,0.36,0.3,0.25,0.22,0.49,0.29,0.35,0.44,0.34,0.46,0.36,0.33,0.35,0.49,0.35,0.86,0.64,0.6,0.58,0.81,0.1,0.09,0.2,0.61,0.91,0.69,0.62,0.6,0.68,0.59,0.49,0.13,0.12
losc_lt1y,"Less than 1 year  (n=16,281)",0.65,0.73,0.81,0.69,0.8,0.54,0.81,0.74,0.41,0.46,0.92,0.77,0.77,0.53,0.68,0.84,0.77,0.81,0.72,0.8,0.79,0.65,0.78,0.79,0.65,0.66,0.67,0.42,0.86,0.81,0.72,0.61,0.53,0.53,0.5,0.86,0.89,0.71,0.8,0.82,0.67,0.74,0.88,0.69,0.68,0.73,0.42,0.42,0.39,0.51,0.55,0.53,0.44,0.49,0.36,0.33,0.61,0.37,0.45,0.72,0.62,0.47,0.56,0.53,0.44,0.53,0.24,0.91,0.69,0.62,0.67,0.74,0.05,0.12,0.32,0.51,0.68,0.4,0.63,0.66,0.71,0.63,0.54,0.07,0.07
losc_1_3y,"1 year but less than 3 years  (n=17,717)",0.61,0.72,0.8,0.68,0.78,0.55,0.78,0.74,0.35,0.44,0.89,0.75,0.74,0.52,0.68,0.83,0.77,0.8,0.69,0.8,0.8,0.62,0.74,0.79,0.65,0.65,0.65,0.39,0.84,0.79,0.72,0.63,0.58,0.51,0.49,0.82,0.86,0.66,0.77,0.84,0.68,0.76,0.89,0.69,0.64,0.71,0.35,0.38,0.32,0.47,0.53,0.49,0.43,0.44,0.32,0.32,0.58,0.35,0.43,0.65,0.58,0.43,0.48,0.45,0.44,0.53,0.32,0.9,0.69,0.65,0.66,0.78,0.07,0.16,0.34,0.43,0.8,0.48,0.64,0.65,0.69,0.62,0.51,0.1,0.1
losc_3_5y,"3 years but less than 5 years  (n=10,605)",0.58,0.71,0.8,0.65,0.77,0.52,0.74,0.71,0.29,0.4,0.88,0.76,0.72,0.51,0.66,0.83,0.78,0.8,0.66,0.78,0.77,0.6,0.7,0.76,0.62,0.62,0.61,0.38,0.83,0.78,0.71,0.6,0.55,0.47,0.48,0.78,0.84,0.62,0.73,0.82,0.66,0.73,0.87,0.65,0.58,0.65,0.28,0.32,0.26,0.42,0.49,0.45,0.4,0.39,0.29,0.29,0.53,0.32,0.41,0.6,0.5,0.43,0.44,0.41,0.4,0.5,0.34,0.88,0.66,0.62,0.64,0.78,0.09,0.15,0.32,0.43,0.85,0.59,0.64,0.61,0.67,0.58,0.5,0.12,0.11
losc_5_10y,"5 years but less than 10 years  (n=43,165)",0.54,0.68,0.79,0.65,0.77,0.49,0.72,0.7,0.27,0.37,0.86,0.75,0.7,0.49,0.62,0.81,0.77,0.79,0.66,0.78,0.77,0.61,0.69,0.75,0.65,0.61,0.6,0.39,0.82,0.78,0.71,0.59,0.5,0.43,0.42,0.76,0.83,0.58,0.71,0.83,0.63,0.73,0.86,0.61,0.57,0.65,0.26,0.31,0.23,0.38,0.45,0.41,0.37,0.34,0.28,0.27,0.51,0.31,0.38,0.52,0.43,0.42,0.4,0.37,0.38,0.49,0.34,0.86,0.64,0.58,0.6,0.79,0.1,0.14,0.28,0.48,0.88,0.65,0.64,0.61,0.67,0.58,0.5,0.13,0.11
losc_10yp,"10 years or more  (n=153,737)",0.52,0.72,0.8,0.65,0.79,0.47,0.71,0.69,0.25,0.34,0.87,0.8,0.73,0.52,0.65,0.82,0.78,0.81,0.65,0.76,0.76,0.62,0.68,0.75,0.66,0.59,0.59,0.42,0.83,0.8,0.73,0.61,0.48,0.4,0.39,0.75,0.83,0.59,0.68,0.82,0.64,0.74,0.83,0.6,0.56,0.64,0.24,0.28,0.22,0.35,0.41,0.36,0.37,0.3,0.26,0.23,0.5,0.3,0.36,0.43,0.34,0.45,0.36,0.34,0.36,0.5,0.36,0.85,0.64,0.6,0.59,0.79,0.1,0.1,0.21,0.59,0.92,0.71,0.63,0.61,0.68,0.59,0.49,0.13,0.12
n_nonm,"Non-manager  (n=185,696)",0.52,0.66,0.77,0.63,0.75,0.45,0.7,0.69,0.26,0.33,0.85,0.74,0.69,0.44,0.58,0.79,0.74,0.77,0.63,0.75,0.74,0.59,0.66,0.74,0.65,0.59,0.58,0.36,0.82,0.77,0.67,0.58,0.47,0.39,0.37,0.74,0.82,0.56,0.67,0.82,0.62,0.72,0.83,0.61,0.6,0.67,0.25,0.29,0.23,0.34,0.4,0.36,0.35,0.3,0.26,0.22,0.47,0.27,0.33,0.46,0.37,0.4,0.36,0.34,0.33,0.44,0.29,0.85,0.6,0.55,0.55,0.79,0.1,0.11,0.23,0.55,0.84,0.6,0.59,0.6,0.66,0.58,0.49,0.13,0.12
m_man,"Manager  (n=85,527)",0.59,0.82,0.86,0.7,0.85,0.57,0.78,0.71,0.31,0.44,0.93,0.87,0.81,0.68,0.79,0.87,0.83,0.86,0.7,0.8,0.84,0.67,0.75,0.79,0.66,0.63,0.65,0.53,0.87,0.85,0.83,0.67,0.56,0.51,0.52,0.82,0.87,0.68,0.77,0.85,0.69,0.77,0.89,0.66,0.52,0.59,0.32,0.35,0.27,0.44,0.52,0.48,0.45,0.42,0.31,0.3,0.6,0.4,0.47,0.59,0.47,0.55,0.46,0.44,0.48,0.61,0.45,0.89,0.75,0.71,0.72,0.79,0.07,0.12,0.26,0.55,0.93,0.75,0.72,0.64,0.72,0.62,0.5,0.1,0.11
wp_ft,"Full-time  (n=220,586)",0.55,0.72,0.79,0.65,0.78,0.49,0.72,0.69,0.27,0.37,0.88,0.78,0.73,0.53,0.66,0.81,0.77,0.8,0.65,0.76,0.77,0.61,0.69,0.75,0.64,0.6,0.6,0.41,0.83,0.79,0.72,0.6,0.5,0.44,0.43,0.76,0.83,0.6,0.7,0.82,0.64,0.73,0.85,0.62,0.56,0.62,0.27,0.3,0.24,0.38,0.44,0.4,0.38,0.34,0.27,0.25,0.52,0.31,0.38,0.51,0.41,0.45,0.4,0.37,0.37,0.49,0.33,0.86,0.65,0.6,0.61,0.78,0.09,0.12,0.24,0.54,0.87,0.65,0.63,0.6,0.67,0.58,0.49,0.12,0.12
wp_pt,"Part-time  (n=50,140)",0.52,0.68,0.8,0.67,0.81,0.46,0.74,0.73,0.3,0.35,0.86,0.78,0.71,0.46,0.59,0.82,0.78,0.81,0.67,0.79,0.76,0.66,0.69,0.77,0.7,0.63,0.62,0.42,0.86,0.82,0.74,0.62,0.47,0.38,0.35,0.78,0.86,0.6,0.71,0.85,0.65,0.77,0.83,0.63,0.62,0.75,0.28,0.34,0.27,0.36,0.39,0.36,0.36,0.3,0.28,0.24,0.5,0.29,0.35,0.43,0.37,0.41,0.37,0.36,0.36,0.51,0.36,0.87,0.62,0.59,0.56,0.83,0.09,0.1,0.23,0.58,0.87,0.64,0.64,0.67,0.74,0.65,0.51,0.12,0.1
wp_js,Job-share  (n=798),0.58,0.74,0.82,0.65,0.8,0.49,0.75,0.74,0.34,0.42,0.89,0.8,0.77,0.54,0.69,0.83,0.8,0.82,0.65,0.76,0.77,0.63,0.69,0.75,0.62,0.6,0.6,0.45,0.83,0.82,0.76,0.61,0.45,0.44,0.44,0.78,0.83,0.66,0.71,0.83,0.68,0.78,0.86,0.69,0.62,0.73,0.34,0.37,0.3,0.47,0.5,0.46,0.43,0.42,0.32,0.29,0.54,0.37,0.41,0.59,0.48,0.5,0.49,0.45,0.44,0.54,0.38,0.87,0.64,0.67,0.64,0.79,0.08,0.1,0.3,0.53,0.81,0.62,0.67,0.71,0.79,0.68,0.52,0.13,0.1
es_perm,"Permanent contract  (n=254,546)",0.54,0.71,0.79,0.65,0.78,0.49,0.72,0.69,0.27,0.36,0.87,0.78,0.72,0.51,0.64,0.81,0.77,0.8,0.65,0.76,0.76,0.62,0.69,0.75,0.65,0.6,0.6,0.41,0.83,0.8,0.72,0.61,0.5,0.43,0.41,0.76,0.83,0.59,0.7,0.82,0.64,0.74,0.84,0.62,0.57,0.64,0.26,0.3,0.24,0.36,0.43,0.39,0.37,0.32,0.27,0.24,0.51,0.3,0.37,0.49,0.39,0.44,0.38,0.36,0.37,0.49,0.34,0.86,0.64,0.6,0.6,0.79,0.1,0.11,0.23,0.56,0.88,0.66,0.63,0.61,0.68,0.59,0.49,0.12,0.12
es_fixed,"Fixed term contract  (n=8,972)",0.65,0.73,0.81,0.69,0.8,0.52,0.8,0.77,0.39,0.47,0.9,0.75,0.76,0.54,0.68,0.84,0.77,0.82,0.72,0.79,0.79,0.65,0.76,0.8,0.65,0.67,0.66,0.44,0.85,0.81,0.73,0.62,0.52,0.45,0.47,0.84,0.88,0.7,0.79,0.84,0.72,0.77,0.89,0.73,0.7,0.75,0.41,0.4,0.37,0.52,0.55,0.52,0.45,0.48,0.37,0.35,0.61,0.38,0.44,0.72,0.63,0.49,0.55,0.52,0.47,0.55,0.29,0.91,0.7,0.66,0.66,0.76,0.06,0.14,0.34,0.46,0.73,0.46,0.65,0.65,0.7,0.62,0.52,0.09,0.07
es_loan,"Loaned from other CS organisation  (n=2,712)",0.62,0.8,0.79,0.68,0.82,0.53,0.8,0.71,0.36,0.47,0.93,0.83,0.8,0.65,0.79,0.83,0.74,0.8,0.71,0.82,0.83,0.63,0.77,0.8,0.62,0.63,0.63,0.39,0.86,0.83,0.78,0.64,0.55,0.46,0.48,0.85,0.87,0.73,0.73,0.8,0.68,0.73,0.88,0.67,0.6,0.63,0.38,0.39,0.32,0.5,0.59,0.53,0.39,0.5,0.33,0.31,0.62,0.42,0.49,0.68,0.58,0.38,0.49,0.47,0.54,0.65,0.38,0.88,0.75,0.72,0.69,0.69,0.07,0.24,0.42,0.27,0.93,0.67,0.76,0.69,0.74,0.65,0.49,0.08,0.08
es_temp,"Temporary/agency worker  (n=2,859)",0.66,0.68,0.79,0.65,0.79,0.41,0.8,0.81,0.34,0.5,0.88,0.68,0.73,0.49,0.62,0.81,0.74,0.82,0.69,0.74,0.73,0.62,0.76,0.75,0.58,0.61,0.61,0.44,0.87,0.8,0.69,0.51,0.41,0.35,0.36,0.84,0.87,0.69,0.81,0.89,0.74,0.8,0.91,0.79,0.77,0.79,0.4,0.24,0.37,0.56,0.6,0.55,0.51,0.53,0.43,0.4,0.6,0.38,0.43,0.68,0.66,0.45,0.57,0.55,0.49,0.55,0.3,0.93,0.64,0.61,0.63,0.76,0.06,0.15,0.33,0.46,0.58,0.4,0.59,0.62,0.66,0.61,0.55,0.08,0.07
es_contract,"Contractor/freelancer  (n=1,332)",0.65,0.8,0.79,0.66,0.8,0.31,0.82,0.76,0.44,0.43,0.94,0.82,0.82,0.61,0.78,0.81,0.74,0.82,0.68,0.78,0.81,0.61,0.75,0.78,0.58,0.6,0.62,0.41,0.83,0.82,0.75,0.37,0.31,0.26,0.29,0.84,0.87,0.76,0.79,0.84,0.67,0.73,0.95,0.71,0.69,0.71,0.51,0.36,0.44,0.44,0.5,0.48,0.42,0.44,0.31,0.33,0.55,0.36,0.44,0.68,0.57,0.51,0.53,0.5,0.45,0.52,0.28,0.91,0.72,0.68,0.67,0.77,0.06,0.2,0.4,0.35,0.59,0.39,0.57,0.74,0.8,0.7,0.56,0.08,0.08
es_secondee,"Secondee from outside CS  (n=1,464)",0.6,0.81,0.79,0.68,0.8,0.5,0.83,0.72,0.46,0.44,0.93,0.84,0.81,0.67,0.81,0.84,0.75,0.8,0.69,0.81,0.85,0.65,0.79,0.79,0.62,0.61,0.65,0.37,0.83,0.81,0.75,0.61,0.51,0.4,0.49,0.87,0.9,0.74,0.79,0.82,0.68,0.72,0.87,0.66,0.65,0.68,0.51,0.44,0.44,0.45,0.51,0.51,0.41,0.46,0.29,0.25,0.59,0.41,0.47,0.6,0.55,0.39,0.46,0.44,0.46,0.57,0.3,0.91,0.75,0.71,0.63,0.71,0.06,0.19,0.4,0.35,0.63,0.41,0.63,0.71,0.77,0.67,0.56,0.07,0.05
oh_ops,"Operations  (n=156,858)",0.53,0.68,0.8,0.66,0.79,0.47,0.72,0.7,0.26,0.35,0.85,0.77,0.7,0.48,0.59,0.81,0.78,0.8,0.66,0.75,0.75,0.63,0.68,0.76,0.68,0.61,0.6,0.43,0.84,0.8,0.72,0.61,0.49,0.41,0.38,0.75,0.84,0.58,0.7,0.84,0.64,0.75,0.84,0.61,0.58,0.67,0.25,0.3,0.24,0.36,0.41,0.38,0.38,0.31,0.28,0.26,0.5,0.3,0.36,0.46,0.38,0.43,0.39,0.37,0.35,0.49,0.35,0.86,0.62,0.58,0.57,0.81,0.1,0.1,0.21,0.59,0.87,0.66,0.62,0.61,0.68,0.59,0.5,0.13,0.12
oh_corp,"Corporate Services  (n=47,851)",0.57,0.76,0.82,0.67,0.8,0.54,0.76,0.71,0.31,0.41,0.9,0.81,0.75,0.59,0.76,0.85,0.8,0.82,0.67,0.8,0.81,0.62,0.72,0.77,0.63,0.6,0.61,0.41,0.83,0.81,0.75,0.65,0.53,0.48,0.5,0.79,0.84,0.65,0.74,0.81,0.65,0.72,0.86,0.66,0.58,0.66,0.32,0.34,0.27,0.42,0.5,0.43,0.43,0.39,0.29,0.28,0.57,0.35,0.42,0.55,0.45,0.48,0.42,0.39,0.42,0.53,0.35,0.88,0.7,0.66,0.67,0.77,0.08,0.12,0.27,0.53,0.89,0.67,0.67,0.63,0.69,0.6,0.5,0.11,0.11
oh_pol,"Policy  (n=17,127)",0.61,0.8,0.86,0.7,0.82,0.55,0.79,0.71,0.31,0.45,0.93,0.84,0.79,0.66,0.8,0.88,0.84,0.86,0.72,0.83,0.85,0.66,0.78,0.82,0.66,0.64,0.65,0.42,0.86,0.83,0.78,0.63,0.54,0.51,0.51,0.83,0.88,0.71,0.74,0.81,0.71,0.76,0.87,0.68,0.56,0.61,0.32,0.33,0.26,0.49,0.6,0.53,0.4,0.47,0.3,0.26,0.63,0.39,0.45,0.64,0.52,0.51,0.46,0.44,0.51,0.64,0.43,0.88,0.71,0.72,0.77,0.74,0.06,0.15,0.35,0.44,0.94,0.67,0.72,0.66,0.72,0.62,0.48,0.1,0.09
oh_spec,"Specialist services  (n=30,013)",0.56,0.76,0.77,0.64,0.78,0.51,0.74,0.69,0.3,0.36,0.92,0.83,0.78,0.55,0.72,0.8,0.74,0.78,0.65,0.79,0.79,0.58,0.7,0.75,0.6,0.58,0.6,0.36,0.83,0.79,0.71,0.61,0.54,0.44,0.47,0.78,0.84,0.62,0.71,0.81,0.65,0.73,0.88,0.62,0.55,0.62,0.3,0.33,0.26,0.38,0.45,0.42,0.35,0.35,0.25,0.21,0.52,0.31,0.38,0.55,0.44,0.45,0.39,0.36,0.39,0.5,0.29,0.88,0.67,0.62,0.62,0.76,0.08,0.14,0.32,0.46,0.86,0.57,0.63,0.61,0.69,0.58,0.49,0.11,0.1
oh_oth,"Other  (n=16,410)",0.5,0.68,0.71,0.57,0.73,0.41,0.66,0.64,0.24,0.28,0.86,0.77,0.7,0.47,0.61,0.73,0.68,0.72,0.58,0.69,0.7,0.52,0.62,0.69,0.55,0.51,0.53,0.34,0.79,0.74,0.65,0.5,0.42,0.34,0.36,0.69,0.79,0.53,0.62,0.78,0.57,0.67,0.84,0.58,0.52,0.56,0.25,0.25,0.22,0.28,0.35,0.33,0.29,0.25,0.19,0.16,0.4,0.23,0.29,0.48,0.32,0.41,0.32,0.29,0.27,0.37,0.21,0.84,0.59,0.55,0.5,0.76,0.12,0.11,0.23,0.53,0.8,0.6,0.53,0.57,0.64,0.56,0.5,0.15,0.14
od_op_admin,"Operations - Administrative  (n=21,709)",0.56,0.68,0.78,0.65,0.76,0.45,0.73,0.76,0.29,0.37,0.84,0.7,0.69,0.5,0.67,0.8,0.76,0.78,0.66,0.77,0.76,0.61,0.68,0.76,0.64,0.62,0.62,0.39,0.8,0.78,0.71,0.63,0.44,0.39,0.34,0.77,0.81,0.62,0.71,0.85,0.7,0.77,0.87,0.73,0.64,0.73,0.26,0.32,0.27,0.39,0.46,0.41,0.39,0.35,0.31,0.24,0.5,0.31,0.34,0.5,0.41,0.41,0.41,0.38,0.36,0.47,0.32,0.9,0.68,0.61,0.53,0.8,0.08,0.11,0.23,0.58,0.83,0.62,0.62,0.61,0.66,0.59,0.49,0.11,0.1
od_op_casew,"Operations - Casework  (n=19,534)",0.48,0.64,0.77,0.63,0.77,0.43,0.69,0.67,0.22,0.3,0.83,0.78,0.66,0.41,0.53,0.79,0.75,0.78,0.63,0.75,0.72,0.6,0.65,0.73,0.67,0.58,0.57,0.37,0.84,0.79,0.68,0.58,0.44,0.36,0.32,0.73,0.83,0.52,0.66,0.82,0.59,0.73,0.78,0.53,0.54,0.66,0.21,0.26,0.2,0.29,0.38,0.32,0.32,0.25,0.22,0.2,0.44,0.23,0.3,0.37,0.31,0.36,0.31,0.29,0.3,0.43,0.28,0.83,0.55,0.51,0.54,0.81,0.12,0.11,0.21,0.56,0.87,0.61,0.59,0.59,0.66,0.57,0.48,0.13,0.11
od_op_dmb,"Operations - Debt Management and Banking  (n=3,060)",0.46,0.61,0.79,0.69,0.84,0.49,0.73,0.71,0.2,0.29,0.76,0.72,0.6,0.43,0.53,0.8,0.77,0.8,0.69,0.77,0.77,0.67,0.7,0.79,0.75,0.66,0.64,0.43,0.88,0.85,0.79,0.69,0.49,0.44,0.34,0.78,0.87,0.54,0.72,0.87,0.6,0.78,0.79,0.57,0.67,0.71,0.18,0.22,0.19,0.26,0.37,0.31,0.31,0.22,0.22,0.19,0.44,0.25,0.33,0.3,0.26,0.32,0.29,0.29,0.33,0.48,0.35,0.85,0.62,0.59,0.52,0.83,0.12,0.09,0.18,0.6,0.9,0.67,0.63,0.61,0.69,0.6,0.5,0.11,0.1
od_op_f2f,"Operations - Face to Face  (n=28,328)",0.56,0.72,0.83,0.67,0.78,0.51,0.74,0.72,0.3,0.38,0.9,0.83,0.78,0.5,0.59,0.84,0.82,0.84,0.68,0.74,0.75,0.68,0.68,0.76,0.7,0.64,0.62,0.44,0.83,0.8,0.72,0.61,0.55,0.45,0.43,0.76,0.84,0.63,0.71,0.85,0.66,0.77,0.86,0.62,0.6,0.66,0.28,0.34,0.27,0.41,0.37,0.39,0.41,0.33,0.34,0.32,0.54,0.33,0.4,0.52,0.44,0.51,0.46,0.44,0.39,0.55,0.43,0.86,0.65,0.61,0.62,0.84,0.09,0.1,0.19,0.62,0.85,0.66,0.62,0.62,0.71,0.62,0.5,0.13,0.13
od_op_mgmt,"Operations - General management  (n=10,098)",0.6,0.81,0.87,0.72,0.85,0.57,0.8,0.72,0.31,0.47,0.92,0.86,0.79,0.69,0.8,0.89,0.86,0.87,0.72,0.81,0.84,0.71,0.76,0.8,0.68,0.65,0.67,0.58,0.86,0.85,0.84,0.69,0.56,0.52,0.51,0.83,0.87,0.69,0.8,0.86,0.71,0.78,0.87,0.69,0.54,0.62,0.3,0.36,0.26,0.47,0.56,0.52,0.49,0.44,0.34,0.33,0.63,0.43,0.5,0.59,0.47,0.57,0.48,0.47,0.51,0.66,0.5,0.89,0.77,0.72,0.73,0.79,0.07,0.11,0.23,0.59,0.94,0.78,0.75,0.65,0.73,0.62,0.5,0.1,0.1
od_op_inspct,"Operations - Inspection  (n=2,021)",0.51,0.7,0.75,0.6,0.7,0.41,0.65,0.64,0.26,0.31,0.91,0.83,0.77,0.41,0.58,0.78,0.72,0.76,0.62,0.75,0.73,0.59,0.66,0.71,0.6,0.52,0.53,0.3,0.81,0.72,0.58,0.47,0.47,0.33,0.36,0.7,0.82,0.51,0.57,0.81,0.57,0.71,0.86,0.56,0.47,0.52,0.26,0.28,0.22,0.31,0.4,0.37,0.37,0.3,0.2,0.19,0.47,0.26,0.26,0.49,0.32,0.41,0.33,0.31,0.33,0.42,0.22,0.82,0.48,0.5,0.58,0.74,0.1,0.14,0.28,0.49,0.92,0.68,0.57,0.61,0.69,0.59,0.48,0.15,0.15
od_op_invstg,"Operations - Investigation  (n=4,830)",0.47,0.7,0.71,0.58,0.75,0.42,0.67,0.62,0.23,0.24,0.89,0.77,0.72,0.47,0.63,0.74,0.68,0.73,0.58,0.76,0.75,0.5,0.64,0.72,0.53,0.49,0.52,0.35,0.82,0.77,0.67,0.52,0.45,0.36,0.34,0.72,0.81,0.52,0.62,0.76,0.57,0.65,0.78,0.45,0.53,0.58,0.25,0.22,0.21,0.22,0.32,0.29,0.26,0.21,0.15,0.12,0.37,0.19,0.26,0.43,0.28,0.35,0.27,0.24,0.22,0.32,0.16,0.83,0.62,0.53,0.5,0.77,0.11,0.12,0.25,0.52,0.89,0.62,0.52,0.53,0.62,0.52,0.51,0.15,0.13
od_op_lgstcs,"Operations - Logistics  (n=3,658)",0.57,0.72,0.73,0.61,0.74,0.52,0.71,0.71,0.28,0.32,0.86,0.77,0.72,0.56,0.68,0.75,0.69,0.74,0.61,0.71,0.73,0.54,0.66,0.73,0.56,0.54,0.57,0.44,0.78,0.75,0.68,0.63,0.48,0.48,0.47,0.77,0.82,0.61,0.67,0.82,0.65,0.72,0.87,0.66,0.6,0.64,0.29,0.31,0.25,0.33,0.34,0.35,0.33,0.29,0.25,0.21,0.45,0.27,0.34,0.54,0.43,0.45,0.39,0.34,0.29,0.35,0.23,0.89,0.66,0.62,0.49,0.78,0.07,0.09,0.19,0.65,0.69,0.54,0.51,0.57,0.64,0.57,0.49,0.11,0.1
od_op_offmgmt,"Operations - Offender management  (n=1,361)",0.55,0.64,0.76,0.47,0.68,0.49,0.6,0.68,0.12,0.32,0.86,0.76,0.67,0.39,0.49,0.78,0.76,0.74,0.49,0.58,0.59,0.45,0.53,0.59,0.39,0.39,0.43,0.23,0.79,0.71,0.54,0.51,0.47,0.52,0.45,0.64,0.76,0.42,0.59,0.79,0.57,0.66,0.87,0.68,0.57,0.59,0.12,0.13,0.11,0.33,0.37,0.33,0.44,0.3,0.25,0.25,0.4,0.23,0.27,0.57,0.42,0.5,0.38,0.35,0.26,0.29,0.2,0.8,0.46,0.46,0.5,0.81,0.11,0.06,0.12,0.7,0.77,0.59,0.45,0.64,0.7,0.63,0.6,0.22,0.18
od_op_process,"Operations - Processing  (n=22,500)",0.51,0.62,0.78,0.65,0.79,0.44,0.71,0.71,0.24,0.34,0.79,0.71,0.63,0.43,0.53,0.79,0.76,0.79,0.65,0.74,0.73,0.63,0.66,0.75,0.7,0.62,0.6,0.43,0.85,0.81,0.71,0.6,0.45,0.38,0.33,0.75,0.83,0.55,0.69,0.85,0.64,0.76,0.81,0.59,0.59,0.7,0.22,0.28,0.22,0.34,0.39,0.36,0.35,0.29,0.29,0.25,0.48,0.28,0.35,0.42,0.38,0.38,0.38,0.36,0.34,0.47,0.35,0.85,0.59,0.56,0.53,0.81,0.11,0.1,0.19,0.59,0.85,0.63,0.61,0.6,0.66,0.58,0.49,0.12,0.11
